********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866019|Mar 16 03:40:19||0.286464
1615866021|Mar 16 03:40:21||0.307712
1615866022|Mar 16 03:40:22||0.283648
1615866024|Mar 16 03:40:24||0.305664
1615866025|Mar 16 03:40:25||0.285952
1615866026|Mar 16 03:40:26||0.257536
1615866028|Mar 16 03:40:28||0.296960
1615866029|Mar 16 03:40:29||0.278272
1615866031|Mar 16 03:40:31||0.354560
1615866032|Mar 16 03:40:32||0.270336
1615866034|Mar 16 03:40:34||0.290560
1615866035|Mar 16 03:40:35||0.364544
1615866036|Mar 16 03:40:36||0.295168
1615866038|Mar 16 03:40:38||0.260096
1615866039|Mar 16 03:40:39||0.283904
1615866041|Mar 16 03:40:41||0.288768
1615866042|Mar 16 03:40:42||0.275200
1615866044|Mar 16 03:40:44||0.302080
1615866045|Mar 16 03:40:45||0.285952
1615866046|Mar 16 03:40:46||0.298496
1615866048|Mar 16 03:40:48||0.315904
1615866049|Mar 16 03:40:49||0.282880
1615866051|Mar 16 03:40:51||0.359680
1615866052|Mar 16 03:40:52||0.266240
1615866053|Mar 16 03:40:53||0.311040
1615866055|Mar 16 03:40:55||0.291584
1615866056|Mar 16 03:40:56||0.257024
1615866058|Mar 16 03:40:58||0.293120
1615866059|Mar 16 03:40:59||0.283648
1615866061|Mar 16 03:41:01||0.270848
1615866062|Mar 16 03:41:02||0.295936
1615866063|Mar 16 03:41:03||0.386816
1615866065|Mar 16 03:41:05||0.361984
1615866066|Mar 16 03:41:06||0.281600
1615866068|Mar 16 03:41:08||0.290048
1615866069|Mar 16 03:41:09||0.350976
1615866071|Mar 16 03:41:11||0.470272
1615866072|Mar 16 03:41:12||0.322560
1615866073|Mar 16 03:41:13||0.317440
1615866075|Mar 16 03:41:15||0.315648
1615866076|Mar 16 03:41:16||0.343296
1615866078|Mar 16 03:41:18||0.335104
1615866079|Mar 16 03:41:19||0.283904
1615866081|Mar 16 03:41:21||0.514560
1615866082|Mar 16 03:41:22||0.310016
1615866083|Mar 16 03:41:23||0.291328
1615866085|Mar 16 03:41:25||0.307456
1615866086|Mar 16 03:41:26||0.369920
1615866088|Mar 16 03:41:28||0.315392
1615866089|Mar 16 03:41:29||0.314112
1615866090|Mar 16 03:41:30||0.296960
1615866092|Mar 16 03:41:32||0.308736
1615866093|Mar 16 03:41:33||0.286976
1615866095|Mar 16 03:41:35||0.282368
1615866096|Mar 16 03:41:36||0.330496
1615866098|Mar 16 03:41:38||0.283904
1615866099|Mar 16 03:41:39||0.312576
1615866100|Mar 16 03:41:40||0.363776
1615866102|Mar 16 03:41:42||0.307968
1615866103|Mar 16 03:41:43||0.301056
1615866105|Mar 16 03:41:45||0.287744
1615866106|Mar 16 03:41:46||0.308224
1615866108|Mar 16 03:41:48||0.294400
1615866109|Mar 16 03:41:49||0.309504
1615866110|Mar 16 03:41:50||0.308736
