********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866415|Mar 16 03:46:55||0.303616
1615866416|Mar 16 03:46:56||0.301312
1615866416|Mar 16 03:46:56||0.302848
1615866417|Mar 16 03:46:57||0.318464
1615866418|Mar 16 03:46:58||0.323072
1615866418|Mar 16 03:46:58||0.370688
1615866419|Mar 16 03:46:59||0.335872
1615866419|Mar 16 03:46:59||0.325632
1615866420|Mar 16 03:47:00||0.317440
1615866420|Mar 16 03:47:00||0.324096
1615866421|Mar 16 03:47:01||0.311040
1615866422|Mar 16 03:47:02||0.328192
1615866422|Mar 16 03:47:02||0.324096
1615866423|Mar 16 03:47:03||0.336896
1615866423|Mar 16 03:47:03||0.331776
1615866424|Mar 16 03:47:04||0.466432
1615866425|Mar 16 03:47:05||0.338432
1615866425|Mar 16 03:47:05||0.319232
1615866426|Mar 16 03:47:06||0.390656
1615866426|Mar 16 03:47:06||0.334336
1615866427|Mar 16 03:47:07||0.335872
1615866428|Mar 16 03:47:08||0.326400
1615866428|Mar 16 03:47:08||0.330240
1615866429|Mar 16 03:47:09||0.349440
1615866429|Mar 16 03:47:09||0.308480
1615866430|Mar 16 03:47:10||0.358656
1615866431|Mar 16 03:47:11||0.364800
1615866431|Mar 16 03:47:11||0.308992
1615866432|Mar 16 03:47:12||0.322048
1615866432|Mar 16 03:47:12||0.374784
1615866433|Mar 16 03:47:13||0.314624
1615866433|Mar 16 03:47:13||0.301568
1615866434|Mar 16 03:47:14||0.385280
1615866435|Mar 16 03:47:15||0.301056
1615866435|Mar 16 03:47:15||0.305408
1615866436|Mar 16 03:47:16||0.286720
1615866436|Mar 16 03:47:16||0.486656
1615866437|Mar 16 03:47:17||0.302592
1615866438|Mar 16 03:47:18||0.360960
1615866438|Mar 16 03:47:18||0.317952
1615866439|Mar 16 03:47:19||0.294400
1615866439|Mar 16 03:47:19||0.309248
1615866440|Mar 16 03:47:20||0.311552
1615866441|Mar 16 03:47:21||0.307968
1615866441|Mar 16 03:47:21||0.302848
1615866442|Mar 16 03:47:22||0.328192
1615866442|Mar 16 03:47:22||0.317696
1615866443|Mar 16 03:47:23||0.338688
1615866443|Mar 16 03:47:23||0.303104
1615866444|Mar 16 03:47:24||0.302080
1615866445|Mar 16 03:47:25||0.291840
1615866445|Mar 16 03:47:25||0.357888
1615866446|Mar 16 03:47:26||0.309504
1615866446|Mar 16 03:47:26||0.301056
1615866447|Mar 16 03:47:27||0.278784
1615866448|Mar 16 03:47:28||0.292352
1615866448|Mar 16 03:47:28||0.276480
1615866449|Mar 16 03:47:29||0.281600
1615866449|Mar 16 03:47:29||0.280576
1615866450|Mar 16 03:47:30||0.292096
1615866451|Mar 16 03:47:31||0.311296
1615866451|Mar 16 03:47:31||0.339200
1615866452|Mar 16 03:47:32||0.315904
1615866452|Mar 16 03:47:32||0.308992
1615866453|Mar 16 03:47:33||0.358400
1615866453|Mar 16 03:47:33||0.305920
1615866454|Mar 16 03:47:34||0.304128
1615866455|Mar 16 03:47:35||0.279296
1615866455|Mar 16 03:47:35||0.319232
1615866456|Mar 16 03:47:36||0.282112
1615866456|Mar 16 03:47:36||0.278016
1615866457|Mar 16 03:47:37||0.313344
1615866458|Mar 16 03:47:38||0.298496
1615866458|Mar 16 03:47:38||0.348416
1615866459|Mar 16 03:47:39||0.308480
1615866459|Mar 16 03:47:39||0.314880
1615866460|Mar 16 03:47:40||0.283392
1615866461|Mar 16 03:47:41||0.282624
1615866461|Mar 16 03:47:41||0.315904
1615866462|Mar 16 03:47:42||0.308480
1615866462|Mar 16 03:47:42||0.262144
1615866463|Mar 16 03:47:43||0.313088
1615866463|Mar 16 03:47:43||0.302336
1615866464|Mar 16 03:47:44||0.282880
1615866465|Mar 16 03:47:45||0.307200
1615866465|Mar 16 03:47:45||0.285440
1615866466|Mar 16 03:47:46||0.277504
1615866466|Mar 16 03:47:46||0.301056
1615866467|Mar 16 03:47:47||0.282880
1615866468|Mar 16 03:47:48||0.295680
1615866468|Mar 16 03:47:48||0.297216
1615866469|Mar 16 03:47:49||0.289536
1615866469|Mar 16 03:47:49||0.313344
1615866470|Mar 16 03:47:50||0.316416
1615866471|Mar 16 03:47:51||0.267520
1615866471|Mar 16 03:47:51||0.280576
1615866472|Mar 16 03:47:52||0.460288
1615866472|Mar 16 03:47:52||0.291328
1615866473|Mar 16 03:47:53||0.309760
1615866473|Mar 16 03:47:53||0.312576
1615866474|Mar 16 03:47:54||0.328960
1615866475|Mar 16 03:47:55||0.275456
1615866475|Mar 16 03:47:55||0.339456
1615866476|Mar 16 03:47:56||0.308224
1615866476|Mar 16 03:47:56||0.303360
1615866477|Mar 16 03:47:57||0.305920
1615866478|Mar 16 03:47:58||0.300032
1615866478|Mar 16 03:47:58||0.340224
1615866479|Mar 16 03:47:59||0.300800
1615866479|Mar 16 03:47:59||0.302336
1615866480|Mar 16 03:48:00||0.310272
1615866481|Mar 16 03:48:01||0.314624
1615866481|Mar 16 03:48:01||0.313600
1615866482|Mar 16 03:48:02||0.303104
1615866482|Mar 16 03:48:02||0.287488
1615866483|Mar 16 03:48:03||0.332032
1615866483|Mar 16 03:48:03||0.287488
1615866484|Mar 16 03:48:04||0.315392
1615866485|Mar 16 03:48:05||0.278016
1615866485|Mar 16 03:48:05||0.285184
1615866486|Mar 16 03:48:06||0.287232
1615866486|Mar 16 03:48:06||0.319744
1615866487|Mar 16 03:48:07||0.267008
1615866488|Mar 16 03:48:08||0.294144
1615866488|Mar 16 03:48:08||0.276736
1615866489|Mar 16 03:48:09||0.305920
1615866489|Mar 16 03:48:09||0.295424
1615866490|Mar 16 03:48:10||0.306688
1615866491|Mar 16 03:48:11||0.301824
1615866491|Mar 16 03:48:11||0.315904
1615866492|Mar 16 03:48:12||0.332800
1615866492|Mar 16 03:48:12||0.278272
1615866493|Mar 16 03:48:13||0.353792
1615866493|Mar 16 03:48:13||0.290304
1615866494|Mar 16 03:48:14||0.304384
1615866495|Mar 16 03:48:15||0.293632
1615866495|Mar 16 03:48:15||0.290304
1615866496|Mar 16 03:48:16||0.341504
1615866496|Mar 16 03:48:16||0.328192
1615866497|Mar 16 03:48:17||0.289024
1615866498|Mar 16 03:48:18||0.278272
1615866498|Mar 16 03:48:18||0.332032
1615866499|Mar 16 03:48:19||0.343040
1615866499|Mar 16 03:48:19||0.317696
1615866502|Mar 16 03:48:22||0.296448
1615866503|Mar 16 03:48:23||0.328448
1615866504|Mar 16 03:48:24||0.333824
1615866506|Mar 16 03:48:26||0.375552
1615866507|Mar 16 03:48:27||0.304640
1615866509|Mar 16 03:48:29||0.312576
1615866510|Mar 16 03:48:30||0.339456
1615866512|Mar 16 03:48:32||0.305408
1615866513|Mar 16 03:48:33||0.329472
1615866514|Mar 16 03:48:34||0.327168
1615866516|Mar 16 03:48:36||0.324608
1615866517|Mar 16 03:48:37||0.305152
1615866519|Mar 16 03:48:39||0.300288
1615866520|Mar 16 03:48:40||0.320768
1615866521|Mar 16 03:48:41||0.376832
1615866523|Mar 16 03:48:43||0.292352
1615866524|Mar 16 03:48:44||0.291840
1615866526|Mar 16 03:48:46||0.319488
1615866527|Mar 16 03:48:47||0.283136
1615866529|Mar 16 03:48:49||0.332032
1615866530|Mar 16 03:48:50||0.370176
1615866531|Mar 16 03:48:51||0.282624
1615866533|Mar 16 03:48:53||0.324608
1615866534|Mar 16 03:48:54||0.325888
1615866536|Mar 16 03:48:56||0.290048
1615866537|Mar 16 03:48:57||0.339712
1615866538|Mar 16 03:48:58||2.185216
1615866540|Mar 16 03:49:00||0.312576
1615866541|Mar 16 03:49:01||0.371456
1615866543|Mar 16 03:49:03||0.303616
1615866544|Mar 16 03:49:04||0.316928
1615866546|Mar 16 03:49:06||0.312320
1615866547|Mar 16 03:49:07||0.274944
1615866548|Mar 16 03:49:08||0.328448
1615866550|Mar 16 03:49:10||0.317696
1615866551|Mar 16 03:49:11||0.297984
1615866553|Mar 16 03:49:13||0.311552
1615866554|Mar 16 03:49:14||0.478976
1615866556|Mar 16 03:49:16||0.499456
1615866557|Mar 16 03:49:17||0.369664********************* March 16 Observing Session - beginning 03:49:26 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866566|Mar 16 03:49:26||453.099776
1615866568|Mar 16 03:49:28||0.385792
1615866570|Mar 16 03:49:30||0.317952
1615866571|Mar 16 03:49:31||0.305664
1615866573|Mar 16 03:49:33||0.313600
1615866574|Mar 16 03:49:34||0.296192
1615866575|Mar 16 03:49:35||0.319488
1615866577|Mar 16 03:49:37||0.335360
1615866578|Mar 16 03:49:38||0.329984********************* March 16 Observing Session - beginning 03:51:19 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866679|Mar 16 03:51:19||443.755264
1615866681|Mar 16 03:51:21||0.371968
1615866682|Mar 16 03:51:22||0.351232
1615866684|Mar 16 03:51:24||0.339968
1615866685|Mar 16 03:51:25||0.337152
1615866687|Mar 16 03:51:27||0.310528
1615866688|Mar 16 03:51:28||0.291584
1615866689|Mar 16 03:51:29||0.307712
1615866691|Mar 16 03:51:31||0.318464
1615866692|Mar 16 03:51:32||0.360960
1615866694|Mar 16 03:51:34||0.286464
1615866695|Mar 16 03:51:35||0.280832
1615866697|Mar 16 03:51:37||0.342272
1615866698|Mar 16 03:51:38||0.497152
1615866699|Mar 16 03:51:39||0.466688
1615866701|Mar 16 03:51:41||0.346624
1615866702|Mar 16 03:51:42||0.705024
1615866704|Mar 16 03:51:44||0.295168
1615866705|Mar 16 03:51:45||0.326656
1615866707|Mar 16 03:51:47||0.308736
1615866708|Mar 16 03:51:48||0.346624
1615866709|Mar 16 03:51:49||0.293376
1615866711|Mar 16 03:51:51||0.291584
1615866712|Mar 16 03:51:52||0.326656
1615866714|Mar 16 03:51:54||0.293888
1615866715|Mar 16 03:51:55||0.365824
1615866716|Mar 16 03:51:56||0.290048
1615866718|Mar 16 03:51:58||3.584512
1615866719|Mar 16 03:51:59||0.281856
1615866721|Mar 16 03:52:01||0.358400
1615866722|Mar 16 03:52:02||0.307968
1615866724|Mar 16 03:52:04||0.321024
1615866725|Mar 16 03:52:05||0.409856
1615866726|Mar 16 03:52:06||0.313088
1615866728|Mar 16 03:52:08||0.298752
1615866729|Mar 16 03:52:09||0.293120
1615866731|Mar 16 03:52:11||0.313088
1615866732|Mar 16 03:52:12||0.301056
1615866733|Mar 16 03:52:13||0.463360
1615866735|Mar 16 03:52:15||0.278528
1615866736|Mar 16 03:52:16||0.304384
1615866738|Mar 16 03:52:18||0.285696
1615866739|Mar 16 03:52:19||0.317952
1615866741|Mar 16 03:52:21||0.418304
1615866742|Mar 16 03:52:22||0.418560
1615866743|Mar 16 03:52:23||0.325376
1615866745|Mar 16 03:52:25||0.450560
1615866746|Mar 16 03:52:26||0.310272
1615866748|Mar 16 03:52:28||0.350464
1615866749|Mar 16 03:52:29||0.288512
1615866750|Mar 16 03:52:30||0.305408
1615866752|Mar 16 03:52:32||0.281344
1615866753|Mar 16 03:52:33||0.289024
1615866755|Mar 16 03:52:35||0.336384
1615866756|Mar 16 03:52:36||0.349696
1615866758|Mar 16 03:52:38||0.434176
1615866759|Mar 16 03:52:39||0.311296
1615866760|Mar 16 03:52:40||0.351488
1615866762|Mar 16 03:52:42||0.279552
1615866763|Mar 16 03:52:43||0.291072
1615866765|Mar 16 03:52:45||0.287232
1615866766|Mar 16 03:52:46||0.301312
1615866768|Mar 16 03:52:48||0.286976
1615866769|Mar 16 03:52:49||0.321536
1615866770|Mar 16 03:52:50||0.289536
1615866772|Mar 16 03:52:52||0.306688
1615866773|Mar 16 03:52:53||0.270592
1615866775|Mar 16 03:52:55||0.305408
1615866776|Mar 16 03:52:56||0.291840
1615866777|Mar 16 03:52:57||0.299520
1615866779|Mar 16 03:52:59||0.274944
1615866780|Mar 16 03:53:00||0.266240
1615866782|Mar 16 03:53:02||0.323584
1615866783|Mar 16 03:53:03||0.292608
1615866785|Mar 16 03:53:05||0.368640
1615866786|Mar 16 03:53:06||0.311040
1615866787|Mar 16 03:53:07||0.340736
1615866789|Mar 16 03:53:09||0.317184
1615866790|Mar 16 03:53:10||0.294656
1615866792|Mar 16 03:53:12||0.433920
1615866793|Mar 16 03:53:13||0.315392
1615866794|Mar 16 03:53:14||0.639232
1615866796|Mar 16 03:53:16||0.315904
1615866797|Mar 16 03:53:17||0.316416
1615866799|Mar 16 03:53:19||0.324608
1615866800|Mar 16 03:53:20||0.288512
1615866802|Mar 16 03:53:22||0.292608
1615866803|Mar 16 03:53:23||20.493824
1615866804|Mar 16 03:53:24||0.365056
1615866806|Mar 16 03:53:26||0.288768
1615866807|Mar 16 03:53:27||0.292352
1615866809|Mar 16 03:53:29||0.394240
1615866810|Mar 16 03:53:30||0.311040
1615866812|Mar 16 03:53:32||0.287232
1615866813|Mar 16 03:53:33||0.449792
1615866814|Mar 16 03:53:34||0.340736
1615866816|Mar 16 03:53:36||0.309760
1615866817|Mar 16 03:53:37||0.274944
1615866819|Mar 16 03:53:39||0.291328
1615866820|Mar 16 03:53:40||0.276992
1615866821|Mar 16 03:53:41||0.315392
1615866823|Mar 16 03:53:43||0.307968
1615866824|Mar 16 03:53:44||0.301312
1615866826|Mar 16 03:53:46||0.306944
1615866827|Mar 16 03:53:47||0.469760
1615866829|Mar 16 03:53:49||0.292352
1615866830|Mar 16 03:53:50||0.308992
1615866831|Mar 16 03:53:51||0.298240
1615866833|Mar 16 03:53:53||0.303360
1615866834|Mar 16 03:53:54||0.280576
1615866836|Mar 16 03:53:56||0.323328
1615866837|Mar 16 03:53:57||0.312320
1615866838|Mar 16 03:53:58||0.276224
1615866840|Mar 16 03:54:00||0.277760
1615866841|Mar 16 03:54:01||0.285440
1615866843|Mar 16 03:54:03||0.290560
1615866844|Mar 16 03:54:04||0.291328
1615866846|Mar 16 03:54:06||0.307456
1615866847|Mar 16 03:54:07||0.323328
1615866848|Mar 16 03:54:08||0.288256
1615866850|Mar 16 03:54:10||0.325120
1615866851|Mar 16 03:54:11||0.298752
1615866853|Mar 16 03:54:13||0.300544
1615866854|Mar 16 03:54:14||0.290816
1615866855|Mar 16 03:54:15||0.288512
1615866857|Mar 16 03:54:17||0.322560
1615866858|Mar 16 03:54:18||0.300032
1615866860|Mar 16 03:54:20||0.288000
1615866861|Mar 16 03:54:21||0.332800
1615866863|Mar 16 03:54:23||0.305408
1615866864|Mar 16 03:54:24||0.309760
1615866865|Mar 16 03:54:25||0.514816
1615866867|Mar 16 03:54:27||0.286976
1615866868|Mar 16 03:54:28||3.769088
1615866870|Mar 16 03:54:30||0.303616
1615866871|Mar 16 03:54:31||0.376576
1615866873|Mar 16 03:54:33||0.366848
1615866874|Mar 16 03:54:34||0.357888
1615866875|Mar 16 03:54:35||0.346368
1615866877|Mar 16 03:54:37||0.306432
1615866878|Mar 16 03:54:38||0.316416
1615866880|Mar 16 03:54:40||0.321536
1615866881|Mar 16 03:54:41||0.305408
1615866882|Mar 16 03:54:42||0.325632
1615866884|Mar 16 03:54:44||0.289536
1615866885|Mar 16 03:54:45||0.334592
1615866887|Mar 16 03:54:47||0.317440
1615866888|Mar 16 03:54:48||0.344832
1615866890|Mar 16 03:54:50||0.321024
1615866891|Mar 16 03:54:51||0.330752
1615866892|Mar 16 03:54:52||0.303360
1615866894|Mar 16 03:54:54||0.518912
1615866895|Mar 16 03:54:55||0.357632
1615866897|Mar 16 03:54:57||0.332032
1615866898|Mar 16 03:54:58||0.307456
1615866899|Mar 16 03:54:59||0.299008
1615866901|Mar 16 03:55:01||0.303616
1615866902|Mar 16 03:55:02||0.336384
1615866904|Mar 16 03:55:04||0.321024
1615866905|Mar 16 03:55:05||0.329216
1615866907|Mar 16 03:55:07||0.311552
1615866908|Mar 16 03:55:08||0.311552
1615866909|Mar 16 03:55:09||0.302592
1615866911|Mar 16 03:55:11||0.357632
1615866912|Mar 16 03:55:12||0.353024
1615866914|Mar 16 03:55:14||0.330752
1615866915|Mar 16 03:55:15||0.444160
1615866917|Mar 16 03:55:17||0.332800
1615866918|Mar 16 03:55:18||0.353280
1615866919|Mar 16 03:55:19||0.324096
1615866921|Mar 16 03:55:21||0.321536
1615866922|Mar 16 03:55:22||0.305408
1615866924|Mar 16 03:55:24||0.346368
1615866925|Mar 16 03:55:25||0.603648
1615866926|Mar 16 03:55:26||0.441088
1615866928|Mar 16 03:55:28||0.430592
1615866929|Mar 16 03:55:29||0.366592
1615866931|Mar 16 03:55:31||0.564992
1615866932|Mar 16 03:55:32||0.376832
1615866934|Mar 16 03:55:34||0.338432
1615866935|Mar 16 03:55:35||0.405248
1615866936|Mar 16 03:55:36||0.340480
1615866938|Mar 16 03:55:38||0.480256
1615866939|Mar 16 03:55:39||0.346880
1615866941|Mar 16 03:55:41||0.389632
1615866942|Mar 16 03:55:42||0.324608
1615866944|Mar 16 03:55:44||0.428800
1615866945|Mar 16 03:55:45||0.363008
1615866946|Mar 16 03:55:46||0.314624
1615866948|Mar 16 03:55:48||0.312832
1615866949|Mar 16 03:55:49||0.388352
1615866951|Mar 16 03:55:51||0.326912
1615866952|Mar 16 03:55:52||0.342016
1615866954|Mar 16 03:55:54||0.296448
1615866955|Mar 16 03:55:55||0.304896
1615866956|Mar 16 03:55:56||0.294144
1615866958|Mar 16 03:55:58||0.310784
1615866959|Mar 16 03:55:59||0.299008
1615866961|Mar 16 03:56:01||0.463360
1615866962|Mar 16 03:56:02||0.298240
1615866963|Mar 16 03:56:03||0.401664
1615866965|Mar 16 03:56:05||0.330752
1615866966|Mar 16 03:56:06||0.304384
1615866968|Mar 16 03:56:08||0.283904
1615866969|Mar 16 03:56:09||0.287232
1615866971|Mar 16 03:56:11||0.286464
1615866972|Mar 16 03:56:12||0.305408
1615866973|Mar 16 03:56:13||0.300288
1615866975|Mar 16 03:56:15||0.303872
1615866976|Mar 16 03:56:16||0.303872
1615866978|Mar 16 03:56:18||0.293376
1615866979|Mar 16 03:56:19||0.326144
1615866980|Mar 16 03:56:20||0.303872
1615866982|Mar 16 03:56:22||0.303360
1615866983|Mar 16 03:56:23||0.296704
1615866985|Mar 16 03:56:25||0.316416
1615866986|Mar 16 03:56:26||0.300544
1615866988|Mar 16 03:56:28||0.296704
1615866989|Mar 16 03:56:29||0.301568
1615866990|Mar 16 03:56:30||0.359680
1615866992|Mar 16 03:56:32||0.488448
1615866993|Mar 16 03:56:33||0.344576
1615866995|Mar 16 03:56:35||0.310016
1615866996|Mar 16 03:56:36||3.989760
1615866997|Mar 16 03:56:37||0.361216
1615866999|Mar 16 03:56:39||0.290560
1615867000|Mar 16 03:56:40||0.313600
1615867002|Mar 16 03:56:42||0.347392
1615867003|Mar 16 03:56:43||0.288512
1615867005|Mar 16 03:56:45||0.299264
1615867006|Mar 16 03:56:46||0.287488
1615867007|Mar 16 03:56:47||0.296448
1615867009|Mar 16 03:56:49||0.295168
1615867010|Mar 16 03:56:50||0.302336
1615867012|Mar 16 03:56:52||0.291072
1615867013|Mar 16 03:56:53||0.283136
1615867015|Mar 16 03:56:55||0.286720
1615867016|Mar 16 03:56:56||0.290560
1615867017|Mar 16 03:56:57||0.313088
1615867019|Mar 16 03:56:59||0.315392
1615867020|Mar 16 03:57:00||0.314112
1615867022|Mar 16 03:57:02||0.281600
1615867023|Mar 16 03:57:03||0.289024
1615867024|Mar 16 03:57:04||0.291584
1615867026|Mar 16 03:57:06||0.364288
1615867027|Mar 16 03:57:07||0.301568
1615867029|Mar 16 03:57:09||0.280064
1615867030|Mar 16 03:57:10||0.302080
1615867032|Mar 16 03:57:12||0.302592
1615867033|Mar 16 03:57:13||0.288256
1615867034|Mar 16 03:57:14||0.269824
1615867036|Mar 16 03:57:16||0.286464
1615867037|Mar 16 03:57:17||0.291072
1615867039|Mar 16 03:57:19||0.335360
1615867040|Mar 16 03:57:20||0.304896
1615867041|Mar 16 03:57:21||0.431360
1615867043|Mar 16 03:57:23||0.300544
1615867044|Mar 16 03:57:24||0.312064
1615867046|Mar 16 03:57:26||0.310272
1615867047|Mar 16 03:57:27||0.761344
1615867049|Mar 16 03:57:29||0.429312
1615867050|Mar 16 03:57:30||0.319232
1615867051|Mar 16 03:57:31||0.434176
1615867053|Mar 16 03:57:33||0.540928
1615867054|Mar 16 03:57:34||0.293120
1615867056|Mar 16 03:57:36||0.279808
1615867057|Mar 16 03:57:37||0.306944
1615867058|Mar 16 03:57:38||0.276224
1615867060|Mar 16 03:57:40||0.308736
1615867061|Mar 16 03:57:41||0.277248
1615867063|Mar 16 03:57:43||0.317184
1615867064|Mar 16 03:57:44||0.295936
1615867066|Mar 16 03:57:46||0.304128
1615867067|Mar 16 03:57:47||0.275968
1615867068|Mar 16 03:57:48||0.282368
1615867070|Mar 16 03:57:50||0.274688
1615867071|Mar 16 03:57:51||0.309248
1615867073|Mar 16 03:57:53||0.308992
1615867074|Mar 16 03:57:54||0.291840
1615867076|Mar 16 03:57:56||0.305152
1615867077|Mar 16 03:57:57||0.657920
1615867078|Mar 16 03:57:58||0.276736
1615867080|Mar 16 03:58:00||0.285696
1615867081|Mar 16 03:58:01||0.327424
1615867083|Mar 16 03:58:03||0.341248
1615867084|Mar 16 03:58:04||0.502016
1615867085|Mar 16 03:58:05||0.418304
1615867087|Mar 16 03:58:07||0.313088
1615867088|Mar 16 03:58:08||0.436736
1615867090|Mar 16 03:58:10||0.274688
1615867091|Mar 16 03:58:11||0.422400
1615867093|Mar 16 03:58:13||0.348928
1615867094|Mar 16 03:58:14||0.304896
1615867095|Mar 16 03:58:15||0.303872
1615867097|Mar 16 03:58:17||0.322048
1615867098|Mar 16 03:58:18||0.443904
1615867100|Mar 16 03:58:20||0.464128
1615867101|Mar 16 03:58:21||0.512000
1615867103|Mar 16 03:58:23||0.335360
1615867104|Mar 16 03:58:24||0.423680
1615867105|Mar 16 03:58:25||0.344832
1615867107|Mar 16 03:58:27||0.441088
1615867108|Mar 16 03:58:28||0.338944
1615867110|Mar 16 03:58:30||0.365824
1615867111|Mar 16 03:58:31||0.305920
1615867113|Mar 16 03:58:33||0.309248
1615867114|Mar 16 03:58:34||0.297728
1615867115|Mar 16 03:58:35||0.318208
1615867117|Mar 16 03:58:37||0.313344
1615867118|Mar 16 03:58:38||0.325120
1615867120|Mar 16 03:58:40||0.319488
1615867121|Mar 16 03:58:41||0.426496
1615867122|Mar 16 03:58:42||0.314624
1615867124|Mar 16 03:58:44||4.042240
1615867125|Mar 16 03:58:45||0.545024
1615867127|Mar 16 03:58:47||0.375552
1615867128|Mar 16 03:58:48||0.425984
1615867130|Mar 16 03:58:50||0.277504
1615867131|Mar 16 03:58:51||0.280576
1615867132|Mar 16 03:58:52||0.444416
1615867134|Mar 16 03:58:54||0.325888
1615867135|Mar 16 03:58:55||3.301632
1615867137|Mar 16 03:58:57||0.285184
1615867138|Mar 16 03:58:58||0.335872
1615867140|Mar 16 03:59:00||0.371456
1615867141|Mar 16 03:59:01||0.308480
1615867142|Mar 16 03:59:02||0.312064
1615867144|Mar 16 03:59:04||0.444672
1615867145|Mar 16 03:59:05||0.331264
1615867147|Mar 16 03:59:07||1.790208
1615867148|Mar 16 03:59:08||0.407296
1615867149|Mar 16 03:59:09||0.441088
1615867151|Mar 16 03:59:11||0.291584
1615867152|Mar 16 03:59:12||0.312320
1615867154|Mar 16 03:59:14||0.512768
1615867155|Mar 16 03:59:15||0.303360
1615867157|Mar 16 03:59:17||0.336640
1615867158|Mar 16 03:59:18||0.301056
1615867159|Mar 16 03:59:19||0.295936
1615867161|Mar 16 03:59:21||0.332288
1615867162|Mar 16 03:59:22||0.320000
1615867164|Mar 16 03:59:24||0.734208
1615867165|Mar 16 03:59:25||0.319232
1615867167|Mar 16 03:59:27||0.352512
1615867168|Mar 16 03:59:28||0.324096
1615867169|Mar 16 03:59:29||0.341504
1615867171|Mar 16 03:59:31||0.282112
1615867172|Mar 16 03:59:32||0.316160
1615867174|Mar 16 03:59:34||0.323328
1615867175|Mar 16 03:59:35||0.298752
1615867176|Mar 16 03:59:36||0.274432
1615867178|Mar 16 03:59:38||0.316672
1615867179|Mar 16 03:59:39||0.296192
1615867181|Mar 16 03:59:41||0.288000
1615867182|Mar 16 03:59:42||0.276736
1615867184|Mar 16 03:59:44||0.353024
1615867185|Mar 16 03:59:45||0.317184
1615867186|Mar 16 03:59:46||0.601856
1615867188|Mar 16 03:59:48||0.340992
1615867189|Mar 16 03:59:49||0.316160
1615867191|Mar 16 03:59:51||0.406272
1615867192|Mar 16 03:59:52||0.469760
1615867194|Mar 16 03:59:54||0.298752
1615867195|Mar 16 03:59:55||0.397312
1615867196|Mar 16 03:59:56||0.283392
1615867198|Mar 16 03:59:58||0.336384
1615867199|Mar 16 03:59:59||0.304128
1615867201|Mar 16 04:00:01||0.526592
1615867202|Mar 16 04:00:02||0.443392
1615867203|Mar 16 04:00:03||0.336128
1615867205|Mar 16 04:00:05||0.426752
1615867206|Mar 16 04:00:06||0.331264
1615867208|Mar 16 04:00:08||0.309760
1615867209|Mar 16 04:00:09||0.329216
1615867211|Mar 16 04:00:11||0.327680
1615867212|Mar 16 04:00:12||0.354816
1615867213|Mar 16 04:00:13||0.296192
1615867215|Mar 16 04:00:15||0.304640
