********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645225308|Feb 18 23:01:48||0.303104
1645225310|Feb 18 23:01:50||0.290048
1645225311|Feb 18 23:01:51||0.292608
1645225312|Feb 18 23:01:52||0.306176
1645225314|Feb 18 23:01:54||0.290816
1645225315|Feb 18 23:01:55||0.283392
1645225317|Feb 18 23:01:57||0.283392
1645225318|Feb 18 23:01:58||0.496640
1645225319|Feb 18 23:01:59||0.356352
1645225321|Feb 18 23:02:01||0.294144
1645225322|Feb 18 23:02:02||0.297472
1645225324|Feb 18 23:02:04||0.265472
1645225325|Feb 18 23:02:05||0.269312
1645225326|Feb 18 23:02:06||0.272128
1645225328|Feb 18 23:02:08||0.298240
1645225329|Feb 18 23:02:09||0.303872
1645225330|Feb 18 23:02:10||0.269312
1645225332|Feb 18 23:02:12||0.280320
1645225333|Feb 18 23:02:13||0.270848
1645225335|Feb 18 23:02:15||0.302848
1645225336|Feb 18 23:02:16||0.272384
1645225337|Feb 18 23:02:17||0.286720
1645225339|Feb 18 23:02:19||0.343552
1645225340|Feb 18 23:02:20||0.303104
1645225342|Feb 18 23:02:22||0.298240
1645225343|Feb 18 23:02:23||0.271360
1645225344|Feb 18 23:02:24||0.267520
1645225346|Feb 18 23:02:26||0.265216
1645225347|Feb 18 23:02:27||0.263168
1645225348|Feb 18 23:02:28||0.290560
1645225350|Feb 18 23:02:30||0.270592
1645225351|Feb 18 23:02:31||0.285952
1645225353|Feb 18 23:02:33||0.282112
1645225354|Feb 18 23:02:34||0.285696
1645225355|Feb 18 23:02:35||0.294400
1645225357|Feb 18 23:02:37||0.359936
1645225358|Feb 18 23:02:38||0.272640
1645225360|Feb 18 23:02:40||0.264448
1645225361|Feb 18 23:02:41||0.287744
1645225362|Feb 18 23:02:42||0.274176
1645225364|Feb 18 23:02:44||0.287488
1645225365|Feb 18 23:02:45||0.352768
1645225367|Feb 18 23:02:47||0.392448
1645225368|Feb 18 23:02:48||0.294400
1645225369|Feb 18 23:02:49||0.322048
1645225371|Feb 18 23:02:51||0.283392
1645225372|Feb 18 23:02:52||0.310272
1645225373|Feb 18 23:02:53||0.271360
1645225375|Feb 18 23:02:55||0.288768
1645225376|Feb 18 23:02:56||0.297472
1645225378|Feb 18 23:02:58||0.272640
1645225379|Feb 18 23:02:59||0.300800
1645225380|Feb 18 23:03:00||0.286464
1645225382|Feb 18 23:03:02||0.293120
1645225383|Feb 18 23:03:03||0.289792
1645225384|Feb 18 23:03:04||0.284672
1645225386|Feb 18 23:03:06||0.321024
1645225387|Feb 18 23:03:07||0.274176
1645225389|Feb 18 23:03:09||0.298240
1645225390|Feb 18 23:03:10||0.277760
1645225391|Feb 18 23:03:11||0.298752
1645225393|Feb 18 23:03:13||0.351232
1645225394|Feb 18 23:03:14||0.328960
1645225396|Feb 18 23:03:16||0.264960
1645225397|Feb 18 23:03:17||0.295936
1645225398|Feb 18 23:03:18||0.356864
1645225400|Feb 18 23:03:20||493.351680
1645225402|Feb 18 23:03:22||0.299264
1645225403|Feb 18 23:03:23||0.289024
1645225404|Feb 18 23:03:24||0.274688
1645225406|Feb 18 23:03:26||0.286976
1645225407|Feb 18 23:03:27||0.297216
1645225409|Feb 18 23:03:29||0.285952
1645225410|Feb 18 23:03:30||0.314368
1645225411|Feb 18 23:03:31||0.287488
1645225413|Feb 18 23:03:33||0.316928
1645225414|Feb 18 23:03:34||0.334592
1645225415|Feb 18 23:03:35||0.290304
1645225417|Feb 18 23:03:37||0.285952
1645225418|Feb 18 23:03:38||0.312064
1645225420|Feb 18 23:03:40||0.297472
1645225421|Feb 18 23:03:41||0.305408
1645225423|Feb 18 23:03:43||0.285952
1645225424|Feb 18 23:03:44||0.319488
1645225425|Feb 18 23:03:45||0.310272
1645225427|Feb 18 23:03:47||0.282624
1645225428|Feb 18 23:03:48||0.301312
1645225430|Feb 18 23:03:50||0.310528
1645225431|Feb 18 23:03:51||0.267008
1645225433|Feb 18 23:03:53||0.364544
1645225434|Feb 18 23:03:54||0.291328
1645225435|Feb 18 23:03:55||0.307968
1645225437|Feb 18 23:03:57||0.280576
1645225438|Feb 18 23:03:58||0.315136
1645225440|Feb 18 23:04:00||0.307456
1645225441|Feb 18 23:04:01||0.273664
1645225442|Feb 18 23:04:02||0.289536
1645225444|Feb 18 23:04:04||0.294144
1645225445|Feb 18 23:04:05||0.273920
1645225447|Feb 18 23:04:07||0.285696
1645225448|Feb 18 23:04:08||0.307968
1645225450|Feb 18 23:04:10||0.505344
1645225451|Feb 18 23:04:11||0.293120
1645225452|Feb 18 23:04:12||0.296448
1645225454|Feb 18 23:04:14||0.297984
1645225455|Feb 18 23:04:15||0.262144
1645225457|Feb 18 23:04:17||0.291072
1645225458|Feb 18 23:04:18||0.275712
1645225460|Feb 18 23:04:20||0.298752
1645225461|Feb 18 23:04:21||0.299776
1645225462|Feb 18 23:04:22||0.273408
1645225464|Feb 18 23:04:24||0.283136
1645225465|Feb 18 23:04:25||0.275712
1645225467|Feb 18 23:04:27||0.293632
1645225468|Feb 18 23:04:28||0.284672
1645225470|Feb 18 23:04:30||0.295168
1645225471|Feb 18 23:04:31||0.284672
1645225472|Feb 18 23:04:32||0.288768
1645225474|Feb 18 23:04:34||0.285440
1645225475|Feb 18 23:04:35||0.297984
1645225477|Feb 18 23:04:37||0.300800
1645225478|Feb 18 23:04:38||0.304896
1645225480|Feb 18 23:04:40||0.274688
1645225481|Feb 18 23:04:41||0.305408
1645225482|Feb 18 23:04:42||0.299008
1645225484|Feb 18 23:04:44||0.289536
1645225485|Feb 18 23:04:45||0.278272
1645225487|Feb 18 23:04:47||0.276992
1645225488|Feb 18 23:04:48||0.270848
1645225489|Feb 18 23:04:49||0.294912
1645225491|Feb 18 23:04:51||0.292608
1645225492|Feb 18 23:04:52||0.283392
1645225494|Feb 18 23:04:54||0.282880
1645225495|Feb 18 23:04:55||0.272128
1645225497|Feb 18 23:04:57||0.297216
1645225498|Feb 18 23:04:58||0.284672
1645225499|Feb 18 23:04:59||0.303872
1645225501|Feb 18 23:05:01||0.292352
1645225502|Feb 18 23:05:02||0.335360
1645225504|Feb 18 23:05:04||0.372480
1645225505|Feb 18 23:05:05||0.305152
1645225507|Feb 18 23:05:07||0.278784
1645225508|Feb 18 23:05:08||0.311808
1645225509|Feb 18 23:05:09||0.286208
1645225511|Feb 18 23:05:11||0.271616
1645225512|Feb 18 23:05:12||0.297728
1645225514|Feb 18 23:05:14||0.287488
1645225515|Feb 18 23:05:15||0.290816
1645225517|Feb 18 23:05:17||0.287232
1645225518|Feb 18 23:05:18||0.270336
1645225519|Feb 18 23:05:19||0.291584
1645225521|Feb 18 23:05:21||0.298496
1645225522|Feb 18 23:05:22||0.309760
1645225524|Feb 18 23:05:24||0.370176
1645225525|Feb 18 23:05:25||0.289536
1645225527|Feb 18 23:05:27||0.278528
1645225528|Feb 18 23:05:28||0.274176
1645225529|Feb 18 23:05:29||0.286208
1645225531|Feb 18 23:05:31||0.290048
1645225532|Feb 18 23:05:32||0.272640
1645225534|Feb 18 23:05:34||0.360704
1645225535|Feb 18 23:05:35||0.309248
1645225537|Feb 18 23:05:37||0.274176
1645225538|Feb 18 23:05:38||0.300800
1645225539|Feb 18 23:05:39||0.307968
1645225541|Feb 18 23:05:41||0.276224
1645225542|Feb 18 23:05:42||0.272896
1645225544|Feb 18 23:05:44||0.269824
1645225545|Feb 18 23:05:45||0.317696
1645225546|Feb 18 23:05:46||0.330240
1645225548|Feb 18 23:05:48||0.295680
1645225549|Feb 18 23:05:49||0.315136
1645225551|Feb 18 23:05:51||0.331008
1645225552|Feb 18 23:05:52||0.305152
1645225554|Feb 18 23:05:54||0.271872
1645225555|Feb 18 23:05:55||0.287744
1645225556|Feb 18 23:05:56||0.333824
1645225558|Feb 18 23:05:58||0.320000
1645225559|Feb 18 23:05:59||0.330240
1645225561|Feb 18 23:06:01||0.290304
1645225562|Feb 18 23:06:02||0.316928
1645225564|Feb 18 23:06:04||0.318208
1645225565|Feb 18 23:06:05||0.272128
1645225566|Feb 18 23:06:06||0.331776
1645225568|Feb 18 23:06:08||0.313344
1645225569|Feb 18 23:06:09||0.351232
1645225571|Feb 18 23:06:11||15.455488
1645225572|Feb 18 23:06:12||0.274176
1645225574|Feb 18 23:06:14||0.308224
1645225575|Feb 18 23:06:15||0.326912
1645225576|Feb 18 23:06:16||0.322304
1645225578|Feb 18 23:06:18||0.323840
1645225579|Feb 18 23:06:19||0.287744
1645225581|Feb 18 23:06:21||0.362752
1645225582|Feb 18 23:06:22||0.343040
1645225583|Feb 18 23:06:23||0.306688
1645225585|Feb 18 23:06:25||0.318720
1645225586|Feb 18 23:06:26||0.296704
1645225588|Feb 18 23:06:28||0.304128
1645225589|Feb 18 23:06:29||0.312832
1645225591|Feb 18 23:06:31||0.326656
1645225592|Feb 18 23:06:32||0.293632
1645225593|Feb 18 23:06:33||0.312064
1645225595|Feb 18 23:06:35||0.356096
1645225596|Feb 18 23:06:36||0.284672
1645225598|Feb 18 23:06:38||0.288512
1645225599|Feb 18 23:06:39||0.296704
1645225601|Feb 18 23:06:41||0.292352
1645225602|Feb 18 23:06:42||0.299520
1645225603|Feb 18 23:06:43||0.306176
1645225605|Feb 18 23:06:45||0.323840
1645225606|Feb 18 23:06:46||0.319232
1645225608|Feb 18 23:06:48||0.270336
1645225609|Feb 18 23:06:49||0.320000
1645225611|Feb 18 23:06:51||0.315648
1645225612|Feb 18 23:06:52||0.288768
1645225613|Feb 18 23:06:53||0.340992
1645225615|Feb 18 23:06:55||0.307456
1645225616|Feb 18 23:06:56||0.354304
1645225618|Feb 18 23:06:58||0.316160
1645225619|Feb 18 23:06:59||0.268800
1645225621|Feb 18 23:07:01||0.297216
1645225622|Feb 18 23:07:02||0.347648
1645225623|Feb 18 23:07:03||0.304896
1645225625|Feb 18 23:07:05||0.295424
1645225626|Feb 18 23:07:06||0.317952
1645225628|Feb 18 23:07:08||0.268544
1645225629|Feb 18 23:07:09||0.283392
1645225630|Feb 18 23:07:10||0.340480
1645225632|Feb 18 23:07:12||0.271872
1645225633|Feb 18 23:07:13||0.302848
1645225635|Feb 18 23:07:15||0.282368
1645225636|Feb 18 23:07:16||0.322560
1645225638|Feb 18 23:07:18||0.299776
1645225639|Feb 18 23:07:19||0.370688
1645225640|Feb 18 23:07:20||0.286976
1645225642|Feb 18 23:07:22||0.279296
1645225643|Feb 18 23:07:23||0.302336
1645225645|Feb 18 23:07:25||0.306176
1645225646|Feb 18 23:07:26||0.273408
1645225648|Feb 18 23:07:28||0.346624
1645225649|Feb 18 23:07:29||0.299520
1645225650|Feb 18 23:07:30||0.313600
1645225652|Feb 18 23:07:32||0.369408
1645225653|Feb 18 23:07:33||0.287488
1645225655|Feb 18 23:07:35||0.312576
1645225656|Feb 18 23:07:36||0.306176
1645225658|Feb 18 23:07:38||0.307200
1645225659|Feb 18 23:07:39||0.301568
1645225660|Feb 18 23:07:40||0.292608
1645225662|Feb 18 23:07:42||0.303616
1645225663|Feb 18 23:07:43||0.319488
1645225665|Feb 18 23:07:45||0.296960
1645225666|Feb 18 23:07:46||0.296704
1645225668|Feb 18 23:07:48||0.296704
1645225669|Feb 18 23:07:49||0.297984
1645225670|Feb 18 23:07:50||0.301824
1645225672|Feb 18 23:07:52||0.313088
1645225673|Feb 18 23:07:53||0.317696
1645225675|Feb 18 23:07:55||0.321280
1645225676|Feb 18 23:07:56||0.298496
1645225678|Feb 18 23:07:58||0.319488
1645225679|Feb 18 23:07:59||0.335360
1645225680|Feb 18 23:08:00||0.289024
1645225682|Feb 18 23:08:02||0.314880
1645225683|Feb 18 23:08:03||0.319232
1645225685|Feb 18 23:08:05||0.315648
1645225686|Feb 18 23:08:06||0.287488
1645225687|Feb 18 23:08:07||0.364032
1645225689|Feb 18 23:08:09||0.328192
1645225690|Feb 18 23:08:10||0.316416
1645225692|Feb 18 23:08:12||0.310016
1645225693|Feb 18 23:08:13||0.299008
1645225695|Feb 18 23:08:15||0.326912
1645225696|Feb 18 23:08:16||0.381440
1645225697|Feb 18 23:08:17||0.311296
1645225699|Feb 18 23:08:19||0.315648
1645225700|Feb 18 23:08:20||0.337152
1645225702|Feb 18 23:08:22||0.320512
1645225703|Feb 18 23:08:23||0.291072
1645225705|Feb 18 23:08:25||0.307456
1645225706|Feb 18 23:08:26||0.347392
1645225707|Feb 18 23:08:27||0.342272
1645225709|Feb 18 23:08:29||0.335872
1645225710|Feb 18 23:08:30||0.303104
1645225712|Feb 18 23:08:32||0.329216
1645225713|Feb 18 23:08:33||0.342016
1645225715|Feb 18 23:08:35||0.317184
1645225716|Feb 18 23:08:36||0.316672
1645225717|Feb 18 23:08:37||0.282880
1645225719|Feb 18 23:08:39||0.300800
1645225720|Feb 18 23:08:40||0.302592
1645225722|Feb 18 23:08:42||0.296192
1645225723|Feb 18 23:08:43||0.316160
1645225725|Feb 18 23:08:45||0.309248
1645225726|Feb 18 23:08:46||0.318464
1645225727|Feb 18 23:08:47||0.308224
1645225729|Feb 18 23:08:49||0.311040
1645225730|Feb 18 23:08:50||0.298240
1645225732|Feb 18 23:08:52||0.301824
1645225733|Feb 18 23:08:53||0.308992
1645225735|Feb 18 23:08:55||0.322816
1645225736|Feb 18 23:08:56||0.306944
1645225737|Feb 18 23:08:57||0.323072
1645225739|Feb 18 23:08:59||0.320512
1645225740|Feb 18 23:09:00||0.345600
1645225742|Feb 18 23:09:02||0.300800
1645225743|Feb 18 23:09:03||0.306944
1645225745|Feb 18 23:09:05||0.320256
1645225746|Feb 18 23:09:06||0.320768
1645225747|Feb 18 23:09:07||0.324096
1645225749|Feb 18 23:09:09||0.328960
1645225750|Feb 18 23:09:10||0.311808
1645225752|Feb 18 23:09:12||0.308480
1645225753|Feb 18 23:09:13||0.308736
1645225754|Feb 18 23:09:14||0.315648
1645225756|Feb 18 23:09:16||0.314880
1645225757|Feb 18 23:09:17||0.307712
1645225759|Feb 18 23:09:19||0.314624
1645225760|Feb 18 23:09:20||0.298496
1645225762|Feb 18 23:09:22||0.312576
1645225763|Feb 18 23:09:23||0.332288
1645225764|Feb 18 23:09:24||0.294400
1645225766|Feb 18 23:09:26||0.309760
1645225767|Feb 18 23:09:27||0.326912
1645225769|Feb 18 23:09:29||0.308736
1645225770|Feb 18 23:09:30||0.339968
1645225772|Feb 18 23:09:32||0.328448
1645225773|Feb 18 23:09:33||0.295936
1645225774|Feb 18 23:09:34||0.330496
1645225776|Feb 18 23:09:36||0.331008
1645225777|Feb 18 23:09:37||0.344064
1645225779|Feb 18 23:09:39||0.330752
1645225780|Feb 18 23:09:40||0.325120
1645225781|Feb 18 23:09:41||0.300032
1645225783|Feb 18 23:09:43||0.312064
1645225784|Feb 18 23:09:44||0.318208
1645225786|Feb 18 23:09:46||0.298240
1645225787|Feb 18 23:09:47||0.312064
1645225789|Feb 18 23:09:49||0.313344
1645225790|Feb 18 23:09:50||0.381184
1645225791|Feb 18 23:09:51||0.302848
1645225793|Feb 18 23:09:53||0.401152
1645225794|Feb 18 23:09:54||0.329984
1645225796|Feb 18 23:09:56||0.333056
1645225797|Feb 18 23:09:57||0.325888
1645225799|Feb 18 23:09:59||0.310528
1645225800|Feb 18 23:10:00||0.302592
1645225801|Feb 18 23:10:01||0.416512
1645225803|Feb 18 23:10:03||0.324608
1645225804|Feb 18 23:10:04||0.333312
1645225806|Feb 18 23:10:06||0.336384
1645225807|Feb 18 23:10:07||0.343552
1645225809|Feb 18 23:10:09||0.326912
1645225810|Feb 18 23:10:10||0.340480
1645225811|Feb 18 23:10:11||0.325376
1645225813|Feb 18 23:10:13||0.306176
1645225814|Feb 18 23:10:14||0.313856
1645225816|Feb 18 23:10:16||0.400896
1645225817|Feb 18 23:10:17||0.320000
1645225818|Feb 18 23:10:18||0.334848
1645225820|Feb 18 23:10:20||0.326144
1645225821|Feb 18 23:10:21||0.324352
1645225823|Feb 18 23:10:23||0.358656
1645225824|Feb 18 23:10:24||21.977600
1645225826|Feb 18 23:10:26||0.312320
1645225827|Feb 18 23:10:27||0.325120
1645225828|Feb 18 23:10:28||0.358144
1645225830|Feb 18 23:10:30||0.336128
1645225831|Feb 18 23:10:31||0.304896
1645225833|Feb 18 23:10:33||0.304640
1645225834|Feb 18 23:10:34||5.327616
1645225836|Feb 18 23:10:36||5.227264
1645225837|Feb 18 23:10:37||0.314368
1645225838|Feb 18 23:10:38||0.313088
1645225840|Feb 18 23:10:40||5.368576
1645225841|Feb 18 23:10:41||5.315072
1645225843|Feb 18 23:10:43||5.237504
1645225844|Feb 18 23:10:44||0.333824
1645225846|Feb 18 23:10:46||0.323584
1645225847|Feb 18 23:10:47||5.228032
1645225848|Feb 18 23:10:48||0.352000
1645225850|Feb 18 23:10:50||5.261056
1645225851|Feb 18 23:10:51||5.347072
1645225853|Feb 18 23:10:53||5.415936
1645225854|Feb 18 23:10:54||5.416192
1645225856|Feb 18 23:10:56||5.369088
1645225857|Feb 18 23:10:57||5.249280
1645225858|Feb 18 23:10:58||5.439232
1645225860|Feb 18 23:11:00||5.374976
1645225861|Feb 18 23:11:01||5.639936
1645225863|Feb 18 23:11:03||5.317888
1645225864|Feb 18 23:11:04||5.297152
1645225866|Feb 18 23:11:06||5.326592
1645225867|Feb 18 23:11:07||5.248000
1645225868|Feb 18 23:11:08||5.188608
1645225870|Feb 18 23:11:10||5.364224
1645225871|Feb 18 23:11:11||5.459712
1645225873|Feb 18 23:11:13||5.302272
1645225874|Feb 18 23:11:14||5.309952
1645225876|Feb 18 23:11:16||5.133568
1645225877|Feb 18 23:11:17||5.318656
1645225878|Feb 18 23:11:18||5.295872
1645225880|Feb 18 23:11:20||5.305600
1645225881|Feb 18 23:11:21||5.325824
1645225883|Feb 18 23:11:23||5.215744
1645225884|Feb 18 23:11:24||5.366528
1645225886|Feb 18 23:11:26||5.709824
1645225887|Feb 18 23:11:27||5.132800
1645225888|Feb 18 23:11:28||5.197312
1645225890|Feb 18 23:11:30||5.263104
1645225891|Feb 18 23:11:31||5.392128
1645225893|Feb 18 23:11:33||5.418240
1645225894|Feb 18 23:11:34||5.358080
1645225896|Feb 18 23:11:36||5.871360
1645225897|Feb 18 23:11:37||5.538048
1645225898|Feb 18 23:11:38||5.283840
1645225900|Feb 18 23:11:40||5.422592
1645225901|Feb 18 23:11:41||5.387264
1645225903|Feb 18 23:11:43||5.108480
1645225904|Feb 18 23:11:44||5.116160
1645225906|Feb 18 23:11:46||5.568256
1645225907|Feb 18 23:11:47||5.346048
1645225908|Feb 18 23:11:48||5.234688
1645225910|Feb 18 23:11:50||5.328384
1645225911|Feb 18 23:11:51||5.351680
1645225913|Feb 18 23:11:53||5.344000
1645225914|Feb 18 23:11:54||5.302272
1645225916|Feb 18 23:11:56||5.210624
1645225917|Feb 18 23:11:57||5.383680
1645225918|Feb 18 23:11:58||8.941312
1645225920|Feb 18 23:12:00||5.205760
1645225921|Feb 18 23:12:01||5.203968
1645225923|Feb 18 23:12:03||5.189888
1645225924|Feb 18 23:12:04||5.334016
1645225926|Feb 18 23:12:06||5.341696
1645225927|Feb 18 23:12:07||5.372416
1645225928|Feb 18 23:12:08||5.327872
1645225930|Feb 18 23:12:10||5.286912
1645225931|Feb 18 23:12:11||5.356800
1645225933|Feb 18 23:12:13||5.325056
1645225934|Feb 18 23:12:14||5.292032
1645225936|Feb 18 23:12:16||5.460224
1645225937|Feb 18 23:12:17||5.327104
1645225938|Feb 18 23:12:18||5.423872
1645225940|Feb 18 23:12:20||5.335040
1645225941|Feb 18 23:12:21||5.286144
1645225943|Feb 18 23:12:23||5.246720
1645225944|Feb 18 23:12:24||5.590016
1645225946|Feb 18 23:12:26||5.447424
1645225947|Feb 18 23:12:27||5.228544
1645225948|Feb 18 23:12:28||5.307648
1645225950|Feb 18 23:12:30||5.336832
1645225951|Feb 18 23:12:31||5.257472
1645225953|Feb 18 23:12:33||5.318144
1645225954|Feb 18 23:12:34||5.281024
1645225955|Feb 18 23:12:35||8.494592
1645225957|Feb 18 23:12:37||5.466368
1645225958|Feb 18 23:12:38||5.169408
1645225960|Feb 18 23:12:40||5.390592
1645225961|Feb 18 23:12:41||5.335552
1645225963|Feb 18 23:12:43||5.145344
1645225964|Feb 18 23:12:44||5.273344
1645225965|Feb 18 23:12:45||5.126912
1645225967|Feb 18 23:12:47||5.336832
1645225968|Feb 18 23:12:48||5.301504
1645225970|Feb 18 23:12:50||5.255168
1645225971|Feb 18 23:12:51||5.251072
1645225973|Feb 18 23:12:53||5.223424
1645225974|Feb 18 23:12:54||5.322240
1645225975|Feb 18 23:12:55||5.436672
1645225977|Feb 18 23:12:57||5.289728
1645225978|Feb 18 23:12:58||5.334784
1645225980|Feb 18 23:13:00||5.160448
1645225981|Feb 18 23:13:01||5.287424
1645225983|Feb 18 23:13:03||5.486080
1645225984|Feb 18 23:13:04||5.281280
1645225985|Feb 18 23:13:05||5.373952
1645225987|Feb 18 23:13:07||5.305344
1645225988|Feb 18 23:13:08||5.229056
1645225990|Feb 18 23:13:10||5.228800
1645225991|Feb 18 23:13:11||5.314304
1645225993|Feb 18 23:13:13||5.357568
1645225994|Feb 18 23:13:14||5.164800
1645225995|Feb 18 23:13:15||5.406208
1645225997|Feb 18 23:13:17||5.389824
1645225998|Feb 18 23:13:18||5.275392
1645226000|Feb 18 23:13:20||5.201152
1645226001|Feb 18 23:13:21||5.276160
1645226003|Feb 18 23:13:23||5.263872
1645226004|Feb 18 23:13:24||5.202432
1645226005|Feb 18 23:13:25||0.308480
1645226007|Feb 18 23:13:27||0.330240
1645226008|Feb 18 23:13:28||0.333568
1645226010|Feb 18 23:13:30||0.310272
1645226011|Feb 18 23:13:31||0.330752
1645226013|Feb 18 23:13:33||0.312320
1645226014|Feb 18 23:13:34||0.351232
1645226015|Feb 18 23:13:35||0.312320
1645226017|Feb 18 23:13:37||0.330496
1645226018|Feb 18 23:13:38||0.324608
1645226020|Feb 18 23:13:40||0.300544
1645226021|Feb 18 23:13:41||0.312832
1645226023|Feb 18 23:13:43||0.310016
1645226024|Feb 18 23:13:44||48.619008
1645226025|Feb 18 23:13:45||0.321280
1645226027|Feb 18 23:13:47||0.323584
1645226028|Feb 18 23:13:48||0.328448
1645226030|Feb 18 23:13:50||0.367616
1645226031|Feb 18 23:13:51||0.327680
1645226033|Feb 18 23:13:53||0.339200
1645226034|Feb 18 23:13:54||0.336128
1645226035|Feb 18 23:13:55||0.328704
1645226037|Feb 18 23:13:57||0.340480
1645226038|Feb 18 23:13:58||0.313344
1645226040|Feb 18 23:14:00||0.326656
1645226041|Feb 18 23:14:01||0.334080
1645226043|Feb 18 23:14:03||0.312320
1645226044|Feb 18 23:14:04||0.326912
1645226045|Feb 18 23:14:05||0.344064
1645226047|Feb 18 23:14:07||0.310016
1645226048|Feb 18 23:14:08||0.327424
1645226050|Feb 18 23:14:10||0.336128
1645226051|Feb 18 23:14:11||0.317952
1645226052|Feb 18 23:14:12||0.321024
1645226054|Feb 18 23:14:14||0.320768
1645226055|Feb 18 23:14:15||23.577344
1645226057|Feb 18 23:14:17||0.358912
1645226058|Feb 18 23:14:18||0.319744
1645226060|Feb 18 23:14:20||0.310784
1645226061|Feb 18 23:14:21||0.326912
1645226062|Feb 18 23:14:22||0.327424
1645226064|Feb 18 23:14:24||0.393728
1645226065|Feb 18 23:14:25||0.380416
1645226067|Feb 18 23:14:27||0.321792
1645226068|Feb 18 23:14:28||0.336384
1645226070|Feb 18 23:14:30||14.377984
1645226071|Feb 18 23:14:31||1.464576
1645226072|Feb 18 23:14:32||1.560576
1645226074|Feb 18 23:14:34||1.717504
1645226075|Feb 18 23:14:35||1.490432
1645226077|Feb 18 23:14:37||1.606144
1645226078|Feb 18 23:14:38||1.431808
1645226080|Feb 18 23:14:40||1.469696
1645226081|Feb 18 23:14:41||26.378240
1645226082|Feb 18 23:14:42||20.779008
1645226084|Feb 18 23:14:44||1.498624
1645226085|Feb 18 23:14:45||9.274112
1645226087|Feb 18 23:14:47||3.739904
1645226088|Feb 18 23:14:48||3.703808
1645226090|Feb 18 23:14:50||3.745792
1645226091|Feb 18 23:14:51||0.358144
1645226092|Feb 18 23:14:52||0.348160
1645226094|Feb 18 23:14:54||13.799936
1645226095|Feb 18 23:14:55||8.630784
1645226097|Feb 18 23:14:57||0.350464
1645226098|Feb 18 23:14:58||10.845952
1645226100|Feb 18 23:15:00||0.354048
1645226101|Feb 18 23:15:01||6.045440
1645226102|Feb 18 23:15:02||43.699200
1645226104|Feb 18 23:15:04||6.160128
1645226105|Feb 18 23:15:05||0.349440
1645226107|Feb 18 23:15:07||9.010688
1645226108|Feb 18 23:15:08||23.532800
1645226110|Feb 18 23:15:10||15.060480
1645226111|Feb 18 23:15:11||38.942464
1645226113|Feb 18 23:15:13||16.840192
1645226114|Feb 18 23:15:14||15.075584
1645226115|Feb 18 23:15:15|6|53.368867|53.370317|-0.652812|-0.724416|10.223855|6.229314|48.566342595968862|193.390263338447284|-0.003324|60.244224|60.673792
1645226117|Feb 18 23:15:17||41.227776
1645226118|Feb 18 23:15:18|6|53.383165|53.384614|-0.652552|-0.724131|10.202547|6.214971|48.566911913982366|193.387709278857272|0.016049|45.590784|46.105088
1645226120|Feb 18 23:15:20||40.981760
1645226121|Feb 18 23:15:21|7|53.395362|53.396810|-0.653016|-0.724575|10.202547|6.214971|48.566394413414613|193.388087204456667|0.016337|118.488320|118.963456
1645226123|Feb 18 23:15:23|7|53.400818|53.402266|-0.652689|-0.724239|10.218052|6.220856|48.566201892288959|193.392486467599241|0.004163|103.061248|103.489792
1645226124|Feb 18 23:15:24|7|53.405911|53.407356|-0.651887|-0.723429|10.250377|6.222296|48.567153348761032|193.391341919037558|-0.029031|104.341248|104.763136
1645226126|Feb 18 23:15:26|8|53.414635|53.416079|-0.651407|-0.722934|10.260175|6.216036|48.567691301151484|193.390923094303929|-0.039147|106.118144|106.529024
1645226127|Feb 18 23:15:27|7|53.420135|53.421581|-0.652697|-0.724214|10.218052|6.220856|48.566656212750765|193.388611672347253|0.001228|103.390464|103.816192
1645226129|Feb 18 23:15:29|7|53.426952|53.428396|-0.651905|-0.723411|10.263616|6.218785|48.567162498681853|193.391113340338705|-0.042443|105.898752|106.311168
1645226130|Feb 18 23:15:30|8|53.432364|53.433810|-0.653045|-0.724541|10.192692|6.221228|48.566259876908120|193.388971517115266|0.026861|105.714176|106.129152
1645226132|Feb 18 23:15:32|8|53.439445|53.440886|-0.650808|-0.722293|10.288961|6.218411|48.568234856534971|193.391468063814358|-0.067522|106.500096|106.918144
1645226134|Feb 18 23:15:34|7|53.444679|53.446122|-0.651947|-0.723422|10.253817|6.225050|48.566560366404637|193.395804983666721|-0.029090|105.685760|106.132224
