********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619488589|Apr 27 01:56:29||163.955712
1619488590|Apr 27 01:56:30||163.827712
1619488592|Apr 27 01:56:32||163.769088
1619488593|Apr 27 01:56:33||161.717760
1619488595|Apr 27 01:56:35||87.092224
1619488597|Apr 27 01:56:37|8|225.293211|225.290134|1.535248|1.619599|84.361349|6.222717|26.192769810692631|111.941129105520062|-129.670120|203.683072|204.154880
1619488598|Apr 27 01:56:38||161.109248
1619488600|Apr 27 01:56:40||160.606976
1619488601|Apr 27 01:56:41||761.507072
1619488604|Apr 27 01:56:44||179.234304
1619488605|Apr 27 01:56:45||177.544960
1619488607|Apr 27 01:56:47||177.057280
1619488608|Apr 27 01:56:48||178.210560
1619488610|Apr 27 01:56:50||98.339072
1619488611|Apr 27 01:56:51||109.950976
1619488613|Apr 27 01:56:53||182.688768
1619488615|Apr 27 01:56:55||181.005312
1619488616|Apr 27 01:56:56|8|225.374551|225.371480|1.535989|1.620223|84.344833|6.224503|26.191899911438085|111.939008455035307|-129.654488|209.481984|209.934592
1619488618|Apr 27 01:56:58||180.312064
1619488619|Apr 27 01:56:59||179.655424
1619488621|Apr 27 01:57:01||180.251904
1619488623|Apr 27 01:57:03||176.766464
1619488624|Apr 27 01:57:04|8|225.408666|225.405598|1.537152|1.621337|84.413570|6.228098|26.192227259781205|111.937546445052789|-129.723851|205.157376|205.597440
1619488626|Apr 27 01:57:06||180.552960
1619488627|Apr 27 01:57:07||175.685120
1619488629|Apr 27 01:57:09||177.108736
1619488631|Apr 27 01:57:11||97.997056
1619488632|Apr 27 01:57:12||104.932608
1619488634|Apr 27 01:57:14|8|225.447604|225.444536|1.535838|1.619966|84.362627|6.230037|26.193323155816856|111.940814766547206|-129.671542|204.847104|205.348352
1619488635|Apr 27 01:57:15||100.127488
1619488637|Apr 27 01:57:17||97.990144
1619488638|Apr 27 01:57:18||175.208448
1619488640|Apr 27 01:57:20||94.937088
1619488641|Apr 27 01:57:21||174.109184
1619488643|Apr 27 01:57:23||173.237760
1619488645|Apr 27 01:57:25||176.760576
1619488646|Apr 27 01:57:26||175.057664
1619488648|Apr 27 01:57:28||95.668992
1619488649|Apr 27 01:57:29||174.779136
1619488651|Apr 27 01:57:31||93.307392
1619488652|Apr 27 01:57:32||95.264768
1619488654|Apr 27 01:57:34||169.377536
1619488655|Apr 27 01:57:35||94.410496
1619488657|Apr 27 01:57:37|8|225.546239|225.543176|1.536550|1.620536|84.420395|6.225249|26.192019589173483|111.938261862029350|-129.730368|198.784512|199.243008
1619488659|Apr 27 01:57:39||106.674432
1619488660|Apr 27 01:57:40||171.173632
1619488662|Apr 27 01:57:42||169.799936
1619488663|Apr 27 01:57:43||168.235776
1619488665|Apr 27 01:57:45||130.291712
1619488666|Apr 27 01:57:46||168.483840
1619488668|Apr 27 01:57:48||166.441728
1619488670|Apr 27 01:57:50||93.826304
1619488671|Apr 27 01:57:51||167.978496
1619488673|Apr 27 01:57:53||128.332032
1619488674|Apr 27 01:57:54||88.017664
1619488676|Apr 27 01:57:56||91.250432
1619488677|Apr 27 01:57:57||165.396736
1619488679|Apr 27 01:57:59||166.667520
1619488680|Apr 27 01:58:00||165.597696
1619488682|Apr 27 01:58:02||166.019328
1619488684|Apr 27 01:58:04||169.208320
1619488685|Apr 27 01:58:05||96.979712
1619488687|Apr 27 01:58:07||97.871872
1619488688|Apr 27 01:58:08||176.605696
1619488690|Apr 27 01:58:10||173.733120
1619488691|Apr 27 01:58:11||180.093184
1619488693|Apr 27 01:58:13||176.230656
1619488695|Apr 27 01:58:15||228.538112
1619488696|Apr 27 01:58:16||230.738944
1619488698|Apr 27 01:58:18||228.109312
1619488700|Apr 27 01:58:20||228.093184
1619488701|Apr 27 01:58:21||226.255360
1619488703|Apr 27 01:58:23||134.893312
1619488704|Apr 27 01:58:24||228.796416
1619488706|Apr 27 01:58:26||70.919424
1619488708|Apr 27 01:58:28||137.887232
1619488709|Apr 27 01:58:29||232.202496
1619488711|Apr 27 01:58:31||233.501440
1619488712|Apr 27 01:58:32||125.692160
1619488714|Apr 27 01:58:34||235.121920
1619488716|Apr 27 01:58:36||232.390144
1619488717|Apr 27 01:58:37||150.529536
1619488719|Apr 27 01:58:39||384.808960
1619488721|Apr 27 01:58:41||224.567296
1619488722|Apr 27 01:58:42||224.308224
1619488724|Apr 27 01:58:44||380.849920
1619488726|Apr 27 01:58:46||379.608064
1619488728|Apr 27 01:58:48||381.991168
1619488729|Apr 27 01:58:49||380.542976
1619488731|Apr 27 01:58:51||386.797568
1619488733|Apr 27 01:58:53||384.486656
1619488735|Apr 27 01:58:55|9|225.869538|225.866491|1.536028|1.619546|84.417774|6.222581|26.193493951737750|111.940704485845728|-129.726739|324.054528|324.514048
1619488736|Apr 27 01:58:56||384.398080
1619488738|Apr 27 01:58:58||380.924416
1619488740|Apr 27 01:59:00||267.947008
1619488742|Apr 27 01:59:02||382.935296
1619488744|Apr 27 01:59:04||269.048064
1619488745|Apr 27 01:59:05||382.281472
1619488747|Apr 27 01:59:07||385.774336
1619488749|Apr 27 01:59:09||222.869504
1619488750|Apr 27 01:59:10||531.607296
1619488752|Apr 27 01:59:12||269.974016
1619488754|Apr 27 01:59:14|10|225.951079|225.948038|1.537702|1.621101|84.380531|6.230030|26.193138037318022|111.937687951466231|-129.690770|457.981952|458.469632
1619488756|Apr 27 01:59:16||385.452544
1619488758|Apr 27 01:59:18||349.185024
1619488760|Apr 27 01:59:20||492.772608
1619488761|Apr 27 01:59:21||354.575872
1619488763|Apr 27 01:59:23||502.412288
1619488765|Apr 27 01:59:25||321.984256
1619488767|Apr 27 01:59:27||510.388480
1619488769|Apr 27 01:59:29||206.680064
1619488770|Apr 27 01:59:30||316.174080
1619488772|Apr 27 01:59:32||508.480512
1619488774|Apr 27 01:59:34||517.378304
1619488776|Apr 27 01:59:36||357.413376
1619488778|Apr 27 01:59:38||522.087680
1619488780|Apr 27 01:59:40||357.003264
1619488782|Apr 27 01:59:42||515.026944
1619488783|Apr 27 01:59:43||359.124992
1619488785|Apr 27 01:59:45||359.032064
1619488787|Apr 27 01:59:47||516.118784
1619488789|Apr 27 01:59:49||515.670016
1619488791|Apr 27 01:59:51||360.179200
1619488793|Apr 27 01:59:53||517.760512
1619488795|Apr 27 01:59:55||510.898688
1619488797|Apr 27 01:59:57||505.702400
1619488798|Apr 27 01:59:58||350.086912
1619488800|Apr 27 02:00:00||507.979264
1619488802|Apr 27 02:00:02||499.953920
1619488804|Apr 27 02:00:04||504.095744
1619488806|Apr 27 02:00:06||499.710720
1619488808|Apr 27 02:00:08||573.311488
1619488810|Apr 27 02:00:10||487.694080
1619488812|Apr 27 02:00:12||559.740928
1619488814|Apr 27 02:00:14||564.910592
1619488816|Apr 27 02:00:16||754.849536
1619488818|Apr 27 02:00:18||765.146368
1619488820|Apr 27 02:00:20||761.211648
1619488822|Apr 27 02:00:22||758.333184
1619488824|Apr 27 02:00:24||563.537152
1619488826|Apr 27 02:00:26||753.300224
1619488829|Apr 27 02:00:29||569.688320
1619488831|Apr 27 02:00:31||767.231232
1619488833|Apr 27 02:00:33||763.543040
1619488835|Apr 27 02:00:35|13|226.289547|226.286523|1.536961|1.619866|84.456852|6.225465|26.192584753939983|111.938240524231915|-129.766845|239.091712|239.692288
1619488837|Apr 27 02:00:37|12|226.295550|226.292525|1.536153|1.619050|84.393403|6.224957|26.193689535954753|111.940724303984467|-129.702363|356.614400|357.147904
1619488838|Apr 27 02:00:38|12|226.302973|226.299947|1.535434|1.618320|84.399693|6.223071|26.190877911163746|111.938751397132293|-129.709437|221.935360|222.400256
1619488840|Apr 27 02:00:40|13|226.311398|226.308371|1.534078|1.616951|84.354491|6.216065|26.189874456677693|111.939772096568021|-129.663782|308.323328|308.804096
1619488842|Apr 27 02:00:42|11|226.318094|226.315071|1.536664|1.619527|84.393403|6.224957|26.192873322098229|111.939023946185614|-129.703069|362.563072|363.005184
1619488844|Apr 27 02:00:44|12|226.326034|226.323012|1.537084|1.619936|84.456852|6.225465|26.193464225287769|111.939017413962404|-129.766532|368.784128|369.250816
1619488845|Apr 27 02:00:45|13|226.333387|226.330363|1.535437|1.618278|84.409337|6.217115|26.190050024518506|111.937835096635581|-129.719454|314.643712|315.156736
1619488847|Apr 27 02:00:47|12|226.340258|226.337237|1.537778|1.620609|84.452184|6.232368|26.192751991719675|111.937143748795847|-129.762646|268.205056|268.673024
1619488849|Apr 27 02:00:49|12|226.347824|226.344798|1.534276|1.617096|84.354491|6.216065|26.190851219563172|111.940537146603745|-129.663476|249.263360|249.743872
1619488850|Apr 27 02:00:50|12|226.354432|226.351409|1.535943|1.618753|84.402046|6.218776|26.190296285010952|111.937313091197140|-129.712390|222.769408|223.368704
1619488852|Apr 27 02:00:52|11|226.361058|226.358034|1.534996|1.617796|84.394003|6.216322|26.190859609013565|111.939418908797578|-129.703463|220.718848|236.589056
1619488854|Apr 27 02:00:54|12|226.366947|226.363925|1.535882|1.618674|84.399388|6.227911|26.193236430087552|111.940649217239454|-129.708372|164.409856|164.867072
1619488855|Apr 27 02:00:55|12|226.374015|226.370994|1.535859|1.618641|84.384346|6.222280|26.191166183341885|111.938403196401666|-129.694243|254.592512|255.084544
1619488857|Apr 27 02:00:57|11|226.380736|226.377715|1.535960|1.618731|84.393403|6.224957|26.192398936221934|111.939604921008538|-129.702813|293.651968|294.108928
1619488859|Apr 27 02:00:59|11|226.387620|226.384600|1.536646|1.619407|84.393403|6.224957|26.193927703923954|111.940214725992448|-129.702584|288.751616|289.240832
1619488860|Apr 27 02:01:00|11|226.395333|226.392314|1.536589|1.619340|84.440810|6.226915|26.191375793397690|111.937489995457526|-129.751099|287.114752|287.626240
1619488862|Apr 27 02:01:02|11|226.402388|226.399368|1.535870|1.618610|84.344796|6.222018|26.191795092786776|111.939079139822184|-129.654418|397.478400|398.320896
1619488864|Apr 27 02:01:04|11|226.409080|226.406062|1.536730|1.619461|84.367832|6.230006|26.193582339700598|111.939701213499930|-129.677224|237.422336|237.845504
1619488866|Apr 27 02:01:06|11|226.417534|226.414516|1.536460|1.619177|84.399693|6.223071|26.193322303212867|111.939839249602329|-129.709022|251.228672|251.673344
1619488867|Apr 27 02:01:07|11|226.423194|226.420174|1.534783|1.617492|84.329458|6.221228|26.191089929204438|111.940006352725092|-129.638673|255.499264|255.965440
1619488869|Apr 27 02:01:09|11|226.431467|226.428449|1.536114|1.618812|84.399693|6.223071|26.192085248571011|111.939016469360965|-129.709348|165.581568|166.023936
1619488871|Apr 27 02:01:11|11|226.438348|226.435331|1.536802|1.619489|84.399693|6.223071|26.193616889227783|111.939627810179459|-129.709117|244.752640|245.190912
1619488872|Apr 27 02:01:12|10|226.444542|226.441526|1.537366|1.620044|84.406732|6.226701|26.192581522121998|111.937601439373395|-129.716996|145.113088|145.563904
1619488874|Apr 27 02:01:14|10|226.450658|226.447641|1.536741|1.619411|84.377042|6.223945|26.193734197722456|111.939851654760091|-129.686374|171.180800|171.946752
1619488875|Apr 27 02:01:15|10|226.457146|226.454130|1.536625|1.619285|84.393403|6.224957|26.192010999686623|111.938133542241204|-129.703431|139.534592|140.107008
1619488877|Apr 27 02:01:17|10|226.463273|226.460254|1.535063|1.617714|84.344796|6.222018|26.192496945166184|111.941117795387740|-129.653566|168.275968|168.734976
1619488878|Apr 27 02:01:18|10|226.471021|226.468002|1.534535|1.617175|84.354491|6.216065|26.189588490224985|111.938739130350228|-129.664215|170.052608|170.661888
1619488880|Apr 27 02:01:20|11|226.477020|226.474003|1.535015|1.617646|84.329458|6.221228|26.191600769438786|111.940205084556084|-129.638599|172.256000|172.709888
1619488882|Apr 27 02:01:22|10|226.484433|226.481419|1.537731|1.620351|84.436123|6.233823|26.194181388519084|111.938793289860413|-129.745912|265.405952|265.859072
1619488883|Apr 27 02:01:23|10|226.490637|226.487624|1.537513|1.620123|84.388665|6.231858|26.192587787320385|111.937378681081142|-129.699024|272.744448|273.227520
1619488885|Apr 27 02:01:25|10|226.497813|226.494798|1.535949|1.618549|84.392393|6.224736|26.192326993481046|111.939541800757155|-129.701829|173.000704|173.544960
1619488887|Apr 27 02:01:27|10|226.504217|226.501204|1.536741|1.619332|84.384346|6.222280|26.194271258762150|111.940443412616347|-129.693436|173.101568|173.614848
1619488888|Apr 27 02:01:28|10|226.512115|226.509100|1.535906|1.618485|84.409337|6.217115|26.191040907609171|111.938191060192636|-129.719322|173.294336|173.768960
1619488890|Apr 27 02:01:30|11|226.518339|226.515325|1.536105|1.618675|84.399693|6.223071|26.192695580325882|111.939704470559292|-129.709067|185.258752|185.705728
1619488891|Apr 27 02:01:31|9|226.526035|226.523021|1.535559|1.618117|84.409337|6.217115|26.189811114740699|111.937380460154543|-129.719643|184.437760|184.897792
1619488893|Apr 27 02:01:33|10|226.532101|226.529090|1.537479|1.620028|84.399693|6.223071|26.192788877528756|111.937653743115789|-129.709939|142.938112|146.806784
1619488895|Apr 27 02:01:35|10|226.537726|226.534713|1.535942|1.618483|84.329458|6.221228|26.193648822161968|111.941011029630587|-129.638296|180.870144|181.358592
1619488896|Apr 27 02:01:36|10|226.544562|226.541552|1.537671|1.620202|84.388665|6.231858|26.192976013002053|111.937558260777735|-129.698955|215.631616|216.429056
1619488898|Apr 27 02:01:38|10|226.551454|226.548445|1.538358|1.620879|84.388665|6.231858|26.194499920805420|111.938161416811525|-129.698728|242.352640|243.003648
1619488899|Apr 27 02:01:39|10|226.558555|226.555544|1.536809|1.619320|84.392393|6.224736|26.191333513397275|111.937099227952189|-129.702847|143.199232|143.855616
1619488901|Apr 27 02:01:41|10|226.566487|226.563477|1.537476|1.619976|84.452184|6.232368|26.192104416774264|111.936902446399060|-129.762736|276.298752|276.872192
1619488903|Apr 27 02:01:43|10|226.572647|226.569636|1.536730|1.619220|84.440810|6.226915|26.193140053181480|111.939214789482790|-129.750400|214.789120|215.229184
1619488904|Apr 27 02:01:44|10|226.578817|226.575807|1.536584|1.619065|84.393403|6.224957|26.191621837371244|111.937768891355176|-129.703578|125.712896|126.163712
1619488906|Apr 27 02:01:46|10|226.585355|226.582347|1.537458|1.619929|84.406732|6.226701|26.193528396623137|111.938501107931415|-129.716633|137.635328|138.443264
1619488907|Apr 27 02:01:47|10|226.591394|226.588386|1.536950|1.619413|84.377042|6.223945|26.191848590370505|111.937445341066137|-129.687359|142.408960|142.904832
1619488909|Apr 27 02:01:49|10|226.597701|226.594693|1.537167|1.619620|84.367357|6.229916|26.193457545014489|111.938879614521511|-129.677095|197.600768|198.112768
1619488911|Apr 27 02:01:51|10|226.605331|226.602322|1.536609|1.619051|84.377042|6.223945|26.193581596171377|111.939890151064176|-129.686354|308.549888|309.018112
1619488912|Apr 27 02:01:52|10|226.612385|226.609375|1.535579|1.618011|84.377042|6.223945|26.190812921733936|111.938452987692017|-129.686912|197.676288|198.306816
1619488914|Apr 27 02:01:54|10|226.619335|226.616329|1.538166|1.620588|84.388665|6.231858|26.193632213957301|111.937505242439428|-129.698990|172.085504|172.545536
1619488916|Apr 27 02:01:56|10|226.625799|226.622790|1.536051|1.618462|84.393403|6.224957|26.193488755097462|111.940663785795209|-129.702385|238.207744|238.705152
1619488917|Apr 27 02:01:57|10|226.632683|226.629676|1.536736|1.619138|84.393403|6.224957|26.192047737495791|111.938000746056360|-129.703488|240.974336|241.408256
1619488919|Apr 27 02:01:59|10|226.641265|226.638260|1.537888|1.620277|84.452184|6.232368|26.192697169288053|111.936910508901079|-129.762744|291.504128|291.958784
1619488921|Apr 27 02:02:01|10|226.646439|226.643433|1.536841|1.619223|84.367357|6.229916|26.194222248392748|111.940233054800188|-129.676535|204.324096|204.772352
1619488922|Apr 27 02:02:02|10|226.653692|226.650685|1.536070|1.618441|84.384346|6.222280|26.191495175525112|111.938435716104706|-129.694235|214.367488|214.934528
1619488924|Apr 27 02:02:04|9|226.658800|226.655792|1.535606|1.617969|84.319731|6.227191|26.193476996036630|111.941348504001397|-129.628422|211.570688|212.161536
1619488926|Apr 27 02:02:06|10|226.668340|226.665333|1.535854|1.618204|84.409337|6.217115|26.192810347296714|111.940223438961240|-129.718493|214.339072|214.787584
1619488927|Apr 27 02:02:07|10|226.674714|226.671708|1.536078|1.618418|84.399693|6.223071|26.191407356540488|111.938325477351029|-129.709628|215.891200|216.323584
1619488929|Apr 27 02:02:09|10|226.681385|226.678380|1.536372|1.618702|84.393403|6.224957|26.192811356808726|111.939412621274940|-129.702903|182.650112|183.110144
1619488930|Apr 27 02:02:10|11|226.687952|226.684949|1.537222|1.619542|84.406732|6.226701|26.191711287074952|111.936868206985153|-129.717291|186.774528|187.272448
1619488932|Apr 27 02:02:12|10|226.694595|226.691590|1.535537|1.617848|84.386709|6.217983|26.191743937520371|111.939544788143039|-129.696133|209.797632|210.254592
1619488934|Apr 27 02:02:14|10|226.701895|226.698892|1.536869|1.619168|84.406732|6.226701|26.193430725571439|111.939317486759734|-129.716284|136.127232|136.592640
1619488935|Apr 27 02:02:15|11|226.707745|226.704740|1.535899|1.618191|84.399693|6.223071|26.191561362956683|111.938775825892975|-129.709440|206.322944|207.097088
1619488937|Apr 27 02:02:17|10|226.715125|226.712123|1.537274|1.619555|84.388665|6.231858|26.193221985805103|111.938451473602385|-129.698581|172.851968|173.366528
1619488938|Apr 27 02:02:18|10|226.721465|226.718461|1.535902|1.618173|84.384346|6.222280|26.190720231399851|111.937844871272418|-129.694471|205.399552|206.091520
1619488940|Apr 27 02:02:20|9|226.728561|226.725558|1.536239|1.618499|84.399693|6.223071|26.191852385295839|111.938564869968488|-129.709535|160.519424|160.967424
1619488942|Apr 27 02:02:22|10|226.734248|226.731247|1.537440|1.619692|84.388665|6.231858|26.194593963444277|111.939704631823346|-129.698075|179.446784|179.889408
1619488943|Apr 27 02:02:23|10|226.741009|226.738006|1.535637|1.617879|84.329458|6.221228|26.191490641142764|111.939109669864408|-129.639062|212.853504|213.307136
1619488945|Apr 27 02:02:25|9|226.747363|226.744362|1.536532|1.618765|84.367357|6.229916|26.193542824847896|111.939968507786560|-129.676635|209.734144|210.171392
1619488946|Apr 27 02:02:26|11|226.755095|226.752095|1.537777|1.619998|84.388665|6.231858|26.191892902641214|111.936198789323356|-129.699512|246.119936|246.609664
1619488948|Apr 27 02:02:28|10|226.761953|226.758952|1.536278|1.618490|84.392393|6.224736|26.191903856803535|111.938559374202839|-129.702238|207.881216|208.311040
1619488950|Apr 27 02:02:30|10|226.768292|226.765292|1.536335|1.618536|84.393403|6.224957|26.193376489372845|111.940094842980486|-129.702624|239.145984|239.651840
1619488951|Apr 27 02:02:31|10|226.775976|226.772976|1.536398|1.618589|84.470199|6.227210|26.190930270791284|111.937297829694685|-129.780561|135.629568|136.066304
1619488953|Apr 27 02:02:33|10|226.782721|226.779721|1.536784|1.618964|84.454156|6.228661|26.192346422192124|111.938255110480412|-129.764139|236.176384|236.615680
1619488955|Apr 27 02:02:35|10|226.789854|226.786854|1.535806|1.617976|84.409337|6.217115|26.192527697887883|111.939987726608393|-129.718588|149.584128|150.012928
1619488956|Apr 27 02:02:36|9|226.795066|226.792065|1.535492|1.617655|84.344796|6.222018|26.191572647033539|111.939426576074439|-129.654267|206.097664|206.542848
1619488958|Apr 27 02:02:38|9|226.802622|226.799624|1.536668|1.618820|84.374670|6.228247|26.192968031856758|111.939121286245452|-129.684297|202.207744|202.627328
1619488959|Apr 27 02:02:39|10|226.808772|226.805773|1.535531|1.617673|84.329458|6.221228|26.190766321890280|111.938477219202085|-129.639316|202.618112|203.226112
1619488961|Apr 27 02:02:41|10|226.815816|226.812818|1.536443|1.618575|84.392393|6.224736|26.192341091411258|111.938782800223478|-129.702151|204.065280|204.868352
1619488963|Apr 27 02:02:43|10|226.822974|226.819978|1.537578|1.619700|84.388665|6.231858|26.193990806375091|111.938822161173320|-129.698438|237.855232|238.454528
1619488964|Apr 27 02:02:44|9|226.828729|226.825732|1.536693|1.618806|84.368433|6.233515|26.192247873774811|111.938287946334171|-129.678400|921.148416|921.594880
1619488967|Apr 27 02:02:47|9|226.840214|226.837216|1.535612|1.617708|84.409337|6.217115|26.192233017236305|111.939966800141462|-129.718591|54.361856|54.804992
1619488968|Apr 27 02:02:48|8|226.845420|226.842423|1.535557|1.617645|84.361791|6.214402|26.191463529851568|111.939204212136971|-129.671354|54.995456|55.491072
1619488970|Apr 27 02:02:50|8|226.851683|226.848687|1.536763|1.618842|84.384346|6.222280|26.193799421932631|111.939889653502874|-129.693662|82.418688|82.884608
1619488971|Apr 27 02:02:51|8|226.858735|226.855738|1.535731|1.617799|84.384346|6.222280|26.191030856330087|111.938454912604755|-129.694218|204.288512|204.747008
1619488973|Apr 27 02:02:53|8|226.865616|226.862621|1.536419|1.618477|84.384346|6.222280|26.192562835609500|111.939065946745188|-129.693988|131.666944|132.150784
1619488974|Apr 27 02:02:54|8|226.870949|226.867952|1.535215|1.617265|84.384346|6.222280|26.190895836243001|111.939115169006669|-129.693936|215.481088|215.951872
1619488976|Apr 27 02:02:56||159.487232
1619488977|Apr 27 02:02:57|8|226.884946|226.881951|1.536197|1.618227|84.399693|6.223071|26.190546609868264|111.937190689702234|-129.710093|43.201792|43.717120
1619488979|Apr 27 02:02:59|8|226.890438|226.887442|1.535622|1.617644|84.377042|6.223945|26.192178044888337|111.939890629978919|-129.686327|133.979392|134.447872
1619488980|Apr 27 02:03:00|8|226.897348|226.894353|1.535786|1.617797|84.329458|6.221228|26.190351608877592|111.937620439088562|-129.639672|69.961216|70.422016
1619488982|Apr 27 02:03:02|8|226.902745|226.899751|1.535908|1.617912|84.344796|6.222018|26.192540441235586|111.939841140262672|-129.654109|53.610240|54.070528
1619488983|Apr 27 02:03:03|8|226.909604|226.906612|1.537116|1.619109|84.392393|6.224736|26.191484493558477|111.936784197852759|-129.702983|82.641664|83.104000
1619488985|Apr 27 02:03:05|8|226.914959|226.911964|1.535400|1.617386|84.344796|6.222018|26.192411229306558|111.940494966713118|-129.653829|131.231232|131.685120
1619488987|Apr 27 02:03:07|8|226.921839|226.918846|1.536093|1.618068|84.344796|6.222018|26.193946884989742|111.941102977544915|-129.653600|82.109440|82.669568
1619488988|Apr 27 02:03:08|8|226.928637|226.925644|1.535969|1.617934|84.377042|6.223945|26.191998228843467|111.939148345185586|-129.686639|81.925120|82.371584
1619488990|Apr 27 02:03:10|8|226.933383|226.930393|1.537293|1.619251|84.319731|6.227191|26.195494820844303|111.940927184626076|-129.628640|83.499264|83.991040
1619488991|Apr 27 02:03:11|9|226.940933|226.937941|1.536277|1.618224|84.344796|6.222018|26.192383995902048|111.939091454620041|-129.654424|133.367040|133.791744
1619488993|Apr 27 02:03:13|9|226.947399|226.944409|1.537209|1.619146|84.399693|6.223071|26.194382887513655|111.939833630521505|-129.709045|85.059840|85.529088
1619488994|Apr 27 02:03:14|9|226.953143|226.950152|1.536247|1.618176|84.392393|6.224736|26.192593459933242|111.939368462247444|-129.701908|53.961728|54.455552
1619488996|Apr 27 02:03:16|9|226.960426|226.957435|1.535627|1.617545|84.402046|6.218776|26.192919642490025|111.940700389700240|-129.711002|38.708992|39.158784
1619488997|Apr 27 02:03:17|9|226.965114|226.962122|1.535675|1.617586|84.329458|6.221228|26.192591533124741|111.940263668282071|-129.638593|93.686272|94.201600
1619488999|Apr 27 02:03:19|9|226.972240|226.969249|1.535952|1.617853|84.344796|6.222018|26.193660614334654|111.941007483078934|-129.653635|149.879040|150.341120
1619489000|Apr 27 02:03:20|10|226.978252|226.975263|1.536863|1.618755|84.374670|6.228247|26.192997829063160|111.938848301901430|-129.684413|38.370048|38.825472
1619489002|Apr 27 02:03:22||343.542016
1619489003|Apr 27 02:03:23|9|226.992646|226.989658|1.536506|1.618376|84.399693|6.223071|26.191424361867568|111.937674629880178|-129.709905|88.841728|89.349632
1619489005|Apr 27 02:03:25|10|226.998137|226.995147|1.535532|1.617394|84.329458|6.221228|26.192776284976603|111.940691461721556|-129.638415|90.107648|90.618880
1619489006|Apr 27 02:03:26|9|227.005016|227.002027|1.536226|1.618078|84.329458|6.221228|26.191344492967247|111.938025633666456|-129.639519|140.668672|141.104896
1619489008|Apr 27 02:03:28|10|227.011721|227.008732|1.536240|1.618082|84.352106|6.220350|26.192528183626486|111.939307850906076|-129.661645|52.891392|53.324800
1619489009|Apr 27 02:03:29|9|227.017228|227.014239|1.535720|1.617554|84.329458|6.221228|26.191218116707525|111.938678270881567|-129.639240|92.796928|93.405696
1619489011|Apr 27 02:03:31|8|227.024044|227.021055|1.535264|1.617088|84.394003|6.216322|26.191991516651271|111.940246653239043|-129.703134|93.609216|94.074624
1619489012|Apr 27 02:03:32|9|227.029855|227.026866|1.535185|1.617001|84.354491|6.216065|26.190775963598959|111.939029432701716|-129.664115|55.367424|55.800064
1619489014|Apr 27 02:03:34|9|227.036174|227.033186|1.535630|1.617436|84.399693|6.223071|26.192536443538273|111.940273341690556|-129.708823|63.173376|63.673344
1619489015|Apr 27 02:03:35|8|227.042800|227.039814|1.536751|1.618547|84.384346|6.222280|26.191584640789181|111.937467303039611|-129.694648|89.253632|89.728768
1619489017|Apr 27 02:03:37|9|227.048531|227.045544|1.535403|1.617191|84.329458|6.221228|26.192502457864812|111.940591346961824|-129.638452|169.999872|170.453760
1619489018|Apr 27 02:03:38||159.750400
1619489020|Apr 27 02:03:40|9|227.061269|227.058283|1.536434|1.618203|84.337482|6.223679|26.193083356560294|111.939615451648919|-129.646901|66.748160|67.203584
1619489021|Apr 27 02:03:41|10|227.067623|227.064637|1.535591|1.617350|84.329458|6.221228|26.190943912141734|111.938578452646297|-129.639277|86.677760|87.154688
1619489023|Apr 27 02:03:43|10|227.074812|227.071827|1.536219|1.617967|84.392393|6.224736|26.192214243719434|111.938995443593669|-129.702059|143.078400|143.520256
1619489025|Apr 27 02:03:45|9|227.081534|227.078548|1.535318|1.617057|84.409337|6.217115|26.192742697665089|111.940989820630278|-129.718166|37.627904|38.094080
1619489026|Apr 27 02:03:46|9|227.087398|227.084413|1.535643|1.617373|84.417387|6.219561|26.191772746250578|111.939410832922547|-129.726868|98.200320|99.296000
1619489028|Apr 27 02:03:48|9|227.093204|227.090220|1.536573|1.618294|84.384346|6.222280|26.194239226826070|111.940672983094160|-129.693338|180.464384|180.901376
1619489029|Apr 27 02:03:49|9|227.098956|227.095972|1.536184|1.617897|84.297241|6.219295|26.192847331657042|111.939747467854815|-129.606599|93.805056|94.228224
1619489031|Apr 27 02:03:51|9|227.106070|227.103085|1.535514|1.617217|84.344796|6.222018|26.193259146125001|111.941251308668583|-129.653524|145.679104|146.111232
1619489032|Apr 27 02:03:52|9|227.112670|227.109688|1.536620|1.618312|84.367357|6.229916|26.192315006247327|111.938477501236292|-129.677244|146.595072|147.100416
