********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483555|Apr 27 00:32:35||72.759552
1619483557|Apr 27 00:32:37||100.719616
1619483558|Apr 27 00:32:38||48.232192
1619483560|Apr 27 00:32:40||70.713344
1619483561|Apr 27 00:32:41||71.325952
1619483563|Apr 27 00:32:43||71.015680
1619483564|Apr 27 00:32:44||13.273600
1619483566|Apr 27 00:32:46||41.398272
1619483567|Apr 27 00:32:47||68.684800
1619483569|Apr 27 00:32:49||43.146496
1619483570|Apr 27 00:32:50||45.806080
1619483572|Apr 27 00:32:52||43.716608
1619483573|Apr 27 00:32:53||13.159936
1619483575|Apr 27 00:32:55||28.581888
1619483576|Apr 27 00:32:56||29.689088
1619483578|Apr 27 00:32:58||28.452352
1619483579|Apr 27 00:32:59||30.460928
1619483580|Apr 27 00:33:00||0.417536
1619483582|Apr 27 00:33:02||6.471680
1619483583|Apr 27 00:33:03||4.072704
1619483585|Apr 27 00:33:05||30.702848
1619483586|Apr 27 00:33:06||28.676096
1619483588|Apr 27 00:33:08||0.503552
1619483589|Apr 27 00:33:09||7.139328
1619483590|Apr 27 00:33:10||3.579392
1619483592|Apr 27 00:33:12||3.118848
1619483593|Apr 27 00:33:13||0.578560
1619483595|Apr 27 00:33:15||3.794432
1619483596|Apr 27 00:33:16||0.536832
1619483598|Apr 27 00:33:18||4.091136
1619483599|Apr 27 00:33:19||3.082240
1619483600|Apr 27 00:33:20||0.546304
1619483602|Apr 27 00:33:22||19.353856
1619483603|Apr 27 00:33:23||5.766912
1619483605|Apr 27 00:33:25||5.510656
1619483606|Apr 27 00:33:26||5.290240
1619483608|Apr 27 00:33:28||5.135616
1619483609|Apr 27 00:33:29||4.683264
1619483610|Apr 27 00:33:30||6.145280
1619483612|Apr 27 00:33:32||5.711104
1619483613|Apr 27 00:33:33||35.453696
1619483615|Apr 27 00:33:35||35.273728
1619483616|Apr 27 00:33:36||34.016768
1619483618|Apr 27 00:33:38||80.732928
1619483619|Apr 27 00:33:39||34.439680
1619483621|Apr 27 00:33:41||35.796992
1619483622|Apr 27 00:33:42||34.918144
1619483624|Apr 27 00:33:44||80.355840
1619483625|Apr 27 00:33:45||38.217728
1619483627|Apr 27 00:33:47||60.585472
1619483628|Apr 27 00:33:48||39.453696
1619483629|Apr 27 00:33:49||39.083776
1619483631|Apr 27 00:33:51||36.568064
1619483632|Apr 27 00:33:52||0.399872
1619483634|Apr 27 00:33:54||84.396544
1619483635|Apr 27 00:33:55||0.414976
1619483637|Apr 27 00:33:57||40.827904
1619483638|Apr 27 00:33:58||0.416768
1619483640|Apr 27 00:34:00||0.738304
1619483641|Apr 27 00:34:01||40.315648
1619483643|Apr 27 00:34:03||0.401152
1619483644|Apr 27 00:34:04||38.955264
1619483645|Apr 27 00:34:05||38.376192
1619483647|Apr 27 00:34:07||37.459456
1619483648|Apr 27 00:34:08||36.263168
1619483650|Apr 27 00:34:10||37.498112
1619483651|Apr 27 00:34:11||0.465408
1619483653|Apr 27 00:34:13||41.166336
1619483654|Apr 27 00:34:14||0.387584
1619483656|Apr 27 00:34:16||42.256896
1619483657|Apr 27 00:34:17||0.518144
1619483659|Apr 27 00:34:19||0.393984
1619483660|Apr 27 00:34:20||0.537856
1619483661|Apr 27 00:34:21||36.924160
1619483663|Apr 27 00:34:23||41.780224
1619483664|Apr 27 00:34:24||2.005248
1619483666|Apr 27 00:34:26||0.418560
1619483667|Apr 27 00:34:27||43.717888
1619483669|Apr 27 00:34:29||1.860608
1619483670|Apr 27 00:34:30||37.715712
1619483672|Apr 27 00:34:32||0.544768
1619483673|Apr 27 00:34:33||0.526592
1619483675|Apr 27 00:34:35||0.557056
1619483676|Apr 27 00:34:36||0.766976
1619483677|Apr 27 00:34:37||0.385792
1619483679|Apr 27 00:34:39||0.565248
1619483680|Apr 27 00:34:40||0.387584
1619483682|Apr 27 00:34:42||1.965312
1619483683|Apr 27 00:34:43||0.545792
1619483685|Apr 27 00:34:45||68.035584
1619483686|Apr 27 00:34:46||72.531200
1619483688|Apr 27 00:34:48||222.441728
1619483689|Apr 27 00:34:49||139.736064
1619483691|Apr 27 00:34:51||112.796416
1619483693|Apr 27 00:34:53||169.049088
1619483694|Apr 27 00:34:54||429.986048
1619483696|Apr 27 00:34:56||54.403328
1619483698|Apr 27 00:34:58||271.326464
1619483699|Apr 27 00:34:59||1.756928
1619483701|Apr 27 00:35:01||1.662464
1619483702|Apr 27 00:35:02||51.131136
1619483704|Apr 27 00:35:04||35.576320
1619483705|Apr 27 00:35:05||1.549312
1619483707|Apr 27 00:35:07||0.477440
1619483708|Apr 27 00:35:08||34.670848
1619483710|Apr 27 00:35:10||0.526848
1619483711|Apr 27 00:35:11||0.551168
1619483712|Apr 27 00:35:12||32.514560
1619483714|Apr 27 00:35:14||0.395264
1619483715|Apr 27 00:35:15||0.421120
1619483717|Apr 27 00:35:17||0.584960
1619483718|Apr 27 00:35:18||0.537600
1619483720|Apr 27 00:35:20||0.386816
1619483721|Apr 27 00:35:21||0.525568
1619483722|Apr 27 00:35:22||0.450048
1619483724|Apr 27 00:35:24||0.452096
1619483725|Apr 27 00:35:25||31.255296
1619483727|Apr 27 00:35:27||0.505856
1619483728|Apr 27 00:35:28||0.532736
1619483730|Apr 27 00:35:30||0.608768
1619483731|Apr 27 00:35:31||0.437760
1619483732|Apr 27 00:35:32||18.167296
1619483734|Apr 27 00:35:34||18.208256
1619483735|Apr 27 00:35:35||18.321152
1619483737|Apr 27 00:35:37||20.299008
1619483738|Apr 27 00:35:38||26.303488
1619483740|Apr 27 00:35:40||23.150848
1619483741|Apr 27 00:35:41||21.651712
1619483743|Apr 27 00:35:43||20.929024
1619483744|Apr 27 00:35:44||21.949952
1619483746|Apr 27 00:35:46||22.889728
1619483747|Apr 27 00:35:47||21.168896
1619483748|Apr 27 00:35:48||20.984832
1619483750|Apr 27 00:35:50||19.748352
1619483751|Apr 27 00:35:51||16.644608
1619483753|Apr 27 00:35:53||16.898048
1619483754|Apr 27 00:35:54||16.789504
1619483756|Apr 27 00:35:56||16.759552
1619483757|Apr 27 00:35:57||18.323200
1619483759|Apr 27 00:35:59||18.427648
1619483760|Apr 27 00:36:00||16.513792
1619483761|Apr 27 00:36:01||63.735552
1619483763|Apr 27 00:36:03||16.285184
1619483764|Apr 27 00:36:04||16.125440
1619483766|Apr 27 00:36:06||16.455680
1619483767|Apr 27 00:36:07||15.659264
1619483769|Apr 27 00:36:09||14.688512
1619483770|Apr 27 00:36:10||15.097344
1619483772|Apr 27 00:36:12||14.475520
1619483773|Apr 27 00:36:13||15.131392
1619483774|Apr 27 00:36:14||15.167232
1619483776|Apr 27 00:36:16||15.983616
1619483777|Apr 27 00:36:17||16.711424
1619483779|Apr 27 00:36:19||16.202496
1619483780|Apr 27 00:36:20||16.505344
1619483782|Apr 27 00:36:22||17.011712
1619483783|Apr 27 00:36:23||16.733696
1619483785|Apr 27 00:36:25||15.577600
1619483786|Apr 27 00:36:26||14.836992
1619483788|Apr 27 00:36:28||17.887744
1619483789|Apr 27 00:36:29||15.406080
1619483790|Apr 27 00:36:30||14.802176
1619483792|Apr 27 00:36:32||13.506304
1619483793|Apr 27 00:36:33||13.273088
1619483795|Apr 27 00:36:35||12.659968
1619483796|Apr 27 00:36:36||13.079808
1619483798|Apr 27 00:36:38||15.720960
1619483799|Apr 27 00:36:39||13.574912
1619483801|Apr 27 00:36:41||13.837312
1619483802|Apr 27 00:36:42||13.630976
1619483803|Apr 27 00:36:43||13.721344
1619483805|Apr 27 00:36:45||55.950848
1619483806|Apr 27 00:36:46||55.948800
1619483808|Apr 27 00:36:48||56.044288
1619483809|Apr 27 00:36:49||13.819648
1619483811|Apr 27 00:36:51||13.446912
1619483812|Apr 27 00:36:52||13.041920
1619483814|Apr 27 00:36:54||12.485632
1619483815|Apr 27 00:36:55||10.969600
1619483816|Apr 27 00:36:56||11.650560
1619483818|Apr 27 00:36:58||52.049152
1619483819|Apr 27 00:36:59||112.435456
1619483821|Apr 27 00:37:01||45.992448
1619483822|Apr 27 00:37:02||42.027008
1619483824|Apr 27 00:37:04||9.072896
1619483825|Apr 27 00:37:05||9.233920
1619483827|Apr 27 00:37:07||9.371648
1619483828|Apr 27 00:37:08||10.155264
1619483830|Apr 27 00:37:10||8.887040
1619483831|Apr 27 00:37:11||9.638912
1619483832|Apr 27 00:37:12||39.289344
1619483834|Apr 27 00:37:14||36.607232
1619483835|Apr 27 00:37:15||38.392576
1619483837|Apr 27 00:37:17||8.433920
1619483838|Apr 27 00:37:18||37.774080
1619483840|Apr 27 00:37:20||8.320768
1619483841|Apr 27 00:37:21||94.812416
1619483843|Apr 27 00:37:23||52.663808
1619483844|Apr 27 00:37:24||9.989632
1619483846|Apr 27 00:37:26||10.047488
1619483847|Apr 27 00:37:27||9.709056
1619483849|Apr 27 00:37:29||48.413952
1619483850|Apr 27 00:37:30||45.464320
1619483851|Apr 27 00:37:31||109.244672
1619483853|Apr 27 00:37:33||167.206144
1619483855|Apr 27 00:37:35||72.261888
1619483856|Apr 27 00:37:36||67.798016
1619483858|Apr 27 00:37:38||194.397184
1619483859|Apr 27 00:37:39||115.578368
1619483861|Apr 27 00:37:41||126.856192
1619483862|Apr 27 00:37:42||429.976576
1619483864|Apr 27 00:37:44||159.024384
1619483866|Apr 27 00:37:46||445.509632
1619483868|Apr 27 00:37:48||99.239680
1619483869|Apr 27 00:37:49||925.174272
