********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622513991|Jun 01 02:19:51|65|267.414895|267.419857|5.048318|5.054963|-99.509443|6.228976|27.325987369790312|107.707260281649710|52.397086|503.302400|503.836672
1622513993|Jun 01 02:19:53|66|267.424733|267.429696|5.048533|5.055158|-99.522893|6.222373|27.325052354901310|107.705952732010132|52.410067|22.576896|23.063040
1622513994|Jun 01 02:19:54|58|267.430155|267.435116|5.047703|5.054317|-99.522893|6.222373|27.323579673278935|107.705687730174247|52.410055|55.666688|56.250880
1622513996|Jun 01 02:19:56|60|267.436562|267.441526|5.049151|5.055752|-99.470504|6.220728|27.325988521244533|107.705980753825429|52.357628|79.279872|81.990400
1622513997|Jun 01 02:19:57|60|267.442534|267.447499|5.049341|5.055930|-99.506052|6.227149|27.324807930251922|107.704455505205530|52.392635|19.753216|20.187136
1622513999|Jun 01 02:19:59|61|267.448950|267.453916|5.049451|5.056026|-99.499390|6.228253|27.326298381956882|107.705845106490443|52.386439|20.826368|21.391616
1622514000|Jun 01 02:20:00|65|267.454119|267.459085|5.049640|5.056205|-99.507747|6.228066|27.325703853029729|107.704933133862284|52.394465|97.508608|98.000896
1622514002|Jun 01 02:20:02|58|267.460539|267.465506|5.049747|5.056300|-99.501084|6.229162|27.327190106626936|107.706321350178371|52.388269|44.703744|45.218304
1622514003|Jun 01 02:20:03|57|267.468210|267.473176|5.049253|5.055790|-99.470504|6.220728|27.324304477197565|107.704063992659954|52.356960|44.730880|53.841920
1622514005|Jun 01 02:20:05|63|267.474074|267.479038|5.048168|5.054692|-99.522893|6.222373|27.325384867457878|107.706860507708711|52.410414|44.330752|44.785408
1622514006|Jun 01 02:20:06|63|267.479204|267.484170|5.049041|5.055555|-99.522893|6.222373|27.325284270437329|107.705413789631976|52.409834|45.155328|45.638400
1622514008|Jun 01 02:20:08|60|267.485890|267.490855|5.048741|5.055242|-99.470504|6.220728|27.326299501730787|107.706936263716003|52.357996|43.704576|44.282624
1622514009|Jun 01 02:20:09|64|267.491467|267.496434|5.049375|5.055864|-99.522893|6.222373|27.325709901081275|107.705345638225751|52.409778|19.603712|20.266496
1622514011|Jun 01 02:20:11|58|267.498149|267.503116|5.049064|5.055539|-99.470504|6.220728|27.326719512949204|107.706879723539814|52.357946|42.528256|43.185664
1622514012|Jun 01 02:20:12|60|267.504277|267.509241|5.047781|5.054244|-99.546353|6.216502|27.324423633640436|107.706449376454813|52.433768|20.246528|20.855808
1622514014|Jun 01 02:20:14|62|267.510409|267.515376|5.049386|5.055837|-99.470504|6.220728|27.327139319080409|107.706823319482837|52.357896|20.091136|20.663040
1622514015|Jun 01 02:20:15|61|267.515780|267.520748|5.049590|5.056030|-99.507747|6.228066|27.326407425851151|107.705744786818130|52.394749|43.958272|44.422912
1622514017|Jun 01 02:20:17|62|267.522700|267.527667|5.049036|5.055461|-99.478852|6.220539|27.327077972525444|107.707297790742572|52.366440|19.436288|20.358656
1622514018|Jun 01 02:20:18|66|267.528547|267.533513|5.048672|5.055086|-99.522893|6.222373|27.325613214840118|107.706324148464091|52.410181|20.724736|21.326848
1622514020|Jun 01 02:20:20|57|267.535006|267.539971|5.048101|5.054502|-99.524589|6.223280|27.326609117304706|107.708242596912058|52.412591|19.283456|19.931904
1622514021|Jun 01 02:20:21|60|267.540810|267.545777|5.049006|5.055394|-99.522893|6.222373|27.326038041510593|107.706256577877113|52.410127|44.998144|45.843456
1622514022|Jun 01 02:20:22|64|267.547271|267.552237|5.048435|5.054810|-99.524589|6.223280|27.323983462089501|107.704985269569434|52.411440|23.110144|24.197888
1622514024|Jun 01 02:20:24|65|267.553104|267.558071|5.048670|5.055033|-99.531242|6.222183|27.325984928552700|107.706716567348678|52.418666|20.472832|21.204992
1622514025|Jun 01 02:20:25|60|267.558495|267.563462|5.048508|5.054860|-99.522893|6.222373|27.324989155181818|107.705924939721669|52.410060|18.677760|19.203840
1622514027|Jun 01 02:20:27|64|267.564958|267.569924|5.047937|5.054276|-99.524589|6.223280|27.325982220868525|107.707839545149938|52.412468|43.891712|44.491264
1622514028|Jun 01 02:20:28|61|267.571999|267.576968|5.049291|5.055616|-99.470504|6.220728|27.324814946490044|107.704538576563181|52.357119|19.589888|20.099328
1622514030|Jun 01 02:20:30|63|267.577223|267.582190|5.048270|5.054584|-99.524589|6.223280|27.326405449528416|107.707770726493010|52.412413|46.179584|47.077376
1622514031|Jun 01 02:20:31|66|267.584259|267.589229|5.049613|5.055912|-99.470504|6.220728|27.325233552708063|107.704483034459344|52.357070|44.712448|45.286656
1622514033|Jun 01 02:20:33|66|267.590153|267.595121|5.048632|5.054920|-99.522893|6.222373|27.326363047423712|107.707169984412374|52.410476|19.381760|19.963136
1622514034|Jun 01 02:20:34|61|267.595125|267.600093|5.048673|5.054951|-99.585366|6.224733|27.325811922610526|107.706530389947787|52.472725|41.766400|42.189056
1622514036|Jun 01 02:20:36|64|267.602416|267.607386|5.048964|5.055227|-99.522893|6.222373|27.326786883829755|107.707103151046837|52.410422|40.973824|41.480704
1622514037|Jun 01 02:20:37|65|267.608779|267.613751|5.050254|5.056504|-99.470504|6.220728|27.326070167424220|107.704372378211986|52.356971|43.090432|43.534592
1622514038|Jun 01 02:20:38|67|267.614679|267.619650|5.049296|5.055534|-99.522893|6.222373|27.324161136731277|107.703848337048839|52.409271|19.744000|20.236288
1622514040|Jun 01 02:20:40|64|267.620923|267.625895|5.050095|5.056320|-99.455314|6.226418|27.326246821795046|107.704801457144598|52.341943|19.712256|20.181504
1622514041|Jun 01 02:20:41|64|267.626142|267.631114|5.049775|5.055990|-99.501084|6.229162|27.325269078378255|107.704270039443813|52.387561|75.136512|75.608832
1622514043|Jun 01 02:20:43|62|267.632365|267.637335|5.048796|5.054998|-99.522893|6.222373|27.326159994781037|107.706706177021388|52.410301|75.075584|75.512064
1622514044|Jun 01 02:20:44|63|267.638839|267.643808|5.048227|5.054416|-99.524589|6.223280|27.324096778367640|107.705423131278181|52.411610|19.874560|20.529408
1622514046|Jun 01 02:20:46|63|267.645709|267.650680|5.048735|5.054910|-99.532940|6.223090|27.325526927377659|107.706138082818512|52.420158|41.216256|41.655552
1622514047|Jun 01 02:20:47|67|267.651104|267.656074|5.048558|5.054722|-99.524589|6.223280|27.324518831111298|107.705355201531503|52.411555|20.771584|21.240576
1622514049|Jun 01 02:20:49|62|267.656891|267.661863|5.049458|5.055610|-99.522893|6.222373|27.327006132995251|107.706573681222395|52.410193|77.030144|77.728768
1622514050|Jun 01 02:20:50|64|267.663369|267.668340|5.048890|5.055028|-99.524589|6.223280|27.324940688309063|107.705287418600278|52.411501|21.768448|22.292992
1622514052|Jun 01 02:20:52|64|267.669182|267.674154|5.049137|5.055264|-99.531242|6.222183|27.326965323106506|107.707024037637311|52.418727|20.680192|21.207040
1622514053|Jun 01 02:20:53|64|267.674577|267.679549|5.048957|5.055073|-99.522893|6.222373|27.325954686593619|107.706244200110319|52.410127|44.959488|45.479936
1622514055|Jun 01 02:20:55|63|267.681057|267.686028|5.048389|5.054491|-99.524589|6.223280|27.326936887181510|107.708143886555902|52.412530|43.628800|44.650496
1622514056|Jun 01 02:20:56|64|267.686688|267.691661|5.049205|5.055296|-99.577015|6.224923|27.326431808036546|107.706362200331654|52.464265|19.554560|20.057600
1622514057|Jun 01 02:20:57|65|267.693973|267.698945|5.048746|5.054822|-99.522893|6.222373|27.323852339879650|107.704370443620661|52.409503|21.725440|22.379520
1622514059|Jun 01 02:20:59|58|267.699104|267.704078|5.049617|5.055683|-99.522893|6.222373|27.326799507956558|107.706112752718397|52.410019|18.418688|18.896896
1622514060|Jun 01 02:21:00|65|267.704049|267.709024|5.049921|5.055977|-99.561912|6.230623|27.326446376327311|107.705276432617865|52.448721|45.752576|46.319616
1622514062|Jun 01 02:21:02|60|267.711367|267.716342|5.049947|5.055988|-99.522893|6.222373|27.327221629658048|107.706047254022451|52.409965|40.596480|41.053440
1622514063|Jun 01 02:21:03|61|267.717853|267.722827|5.049380|5.055408|-99.524589|6.223280|27.325151126290265|107.704753972231174|52.411271|41.127680|41.580544
1622514065|Jun 01 02:21:05|61|267.723608|267.728584|5.049770|5.055786|-99.507747|6.228066|27.327314758950287|107.706416987588696|52.394963|56.797184|57.231872
1622514066|Jun 01 02:21:06|60|267.728918|267.733893|5.049402|5.055407|-99.577015|6.224923|27.326238219650392|107.705856722205652|52.464073|42.151168|42.683392
1622514068|Jun 01 02:21:08|60|267.736186|267.741159|5.048903|5.054893|-99.522893|6.222373|27.326693190116863|107.707099340205801|52.410426|43.410176|43.998720
1622514069|Jun 01 02:21:09|63|267.742379|267.747354|5.049528|5.055505|-99.509443|6.228976|27.325647817666749|107.705046545421311|52.396211|44.227328|44.680704
