********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622513991|Jun 01 02:19:51|65|267.414895|267.419857|5.048318|5.054963|-99.509443|6.228976|27.325987369790312|107.707260281649710|52.397086|503.302400|503.836672
1622513993|Jun 01 02:19:53|66|267.424733|267.429696|5.048533|5.055158|-99.522893|6.222373|27.325052354901310|107.705952732010132|52.410067|22.576896|23.063040
1622513994|Jun 01 02:19:54|58|267.430155|267.435116|5.047703|5.054317|-99.522893|6.222373|27.323579673278935|107.705687730174247|52.410055|55.666688|56.250880
1622513996|Jun 01 02:19:56|60|267.436562|267.441526|5.049151|5.055752|-99.470504|6.220728|27.325988521244533|107.705980753825429|52.357628|79.279872|81.990400
1622513997|Jun 01 02:19:57|60|267.442534|267.447499|5.049341|5.055930|-99.506052|6.227149|27.324807930251922|107.704455505205530|52.392635|19.753216|20.187136
1622513999|Jun 01 02:19:59|61|267.448950|267.453916|5.049451|5.056026|-99.499390|6.228253|27.326298381956882|107.705845106490443|52.386439|20.826368|21.391616
1622514000|Jun 01 02:20:00|65|267.454119|267.459085|5.049640|5.056205|-99.507747|6.228066|27.325703853029729|107.704933133862284|52.394465|97.508608|98.000896
1622514002|Jun 01 02:20:02|58|267.460539|267.465506|5.049747|5.056300|-99.501084|6.229162|27.327190106626936|107.706321350178371|52.388269|44.703744|45.218304
1622514003|Jun 01 02:20:03|57|267.468210|267.473176|5.049253|5.055790|-99.470504|6.220728|27.324304477197565|107.704063992659954|52.356960|44.730880|53.841920
1622514005|Jun 01 02:20:05|63|267.474074|267.479038|5.048168|5.054692|-99.522893|6.222373|27.325384867457878|107.706860507708711|52.410414|44.330752|44.785408
1622514006|Jun 01 02:20:06|63|267.479204|267.484170|5.049041|5.055555|-99.522893|6.222373|27.325284270437329|107.705413789631976|52.409834|45.155328|45.638400
1622514008|Jun 01 02:20:08|60|267.485890|267.490855|5.048741|5.055242|-99.470504|6.220728|27.326299501730787|107.706936263716003|52.357996|43.704576|44.282624
1622514009|Jun 01 02:20:09|64|267.491467|267.496434|5.049375|5.055864|-99.522893|6.222373|27.325709901081275|107.705345638225751|52.409778|19.603712|20.266496
1622514011|Jun 01 02:20:11|58|267.498149|267.503116|5.049064|5.055539|-99.470504|6.220728|27.326719512949204|107.706879723539814|52.357946|42.528256|43.185664
1622514012|Jun 01 02:20:12|60|267.504277|267.509241|5.047781|5.054244|-99.546353|6.216502|27.324423633640436|107.706449376454813|52.433768|20.246528|20.855808
1622514014|Jun 01 02:20:14|62|267.510409|267.515376|5.049386|5.055837|-99.470504|6.220728|27.327139319080409|107.706823319482837|52.357896|20.091136|20.663040
1622514015|Jun 01 02:20:15|61|267.515780|267.520748|5.049590|5.056030|-99.507747|6.228066|27.326407425851151|107.705744786818130|52.394749|43.958272|44.422912
1622514017|Jun 01 02:20:17|62|267.522700|267.527667|5.049036|5.055461|-99.478852|6.220539|27.327077972525444|107.707297790742572|52.366440|19.436288|20.358656
1622514018|Jun 01 02:20:18|66|267.528547|267.533513|5.048672|5.055086|-99.522893|6.222373|27.325613214840118|107.706324148464091|52.410181|20.724736|21.326848
1622514020|Jun 01 02:20:20|57|267.535006|267.539971|5.048101|5.054502|-99.524589|6.223280|27.326609117304706|107.708242596912058|52.412591|19.283456|19.931904
1622514021|Jun 01 02:20:21|60|267.540810|267.545777|5.049006|5.055394|-99.522893|6.222373|27.326038041510593|107.706256577877113|52.410127|44.998144|45.843456
1622514022|Jun 01 02:20:22|64|267.547271|267.552237|5.048435|5.054810|-99.524589|6.223280|27.323983462089501|107.704985269569434|52.411440|23.110144|24.197888
1622514024|Jun 01 02:20:24|65|267.553104|267.558071|5.048670|5.055033|-99.531242|6.222183|27.325984928552700|107.706716567348678|52.418666|20.472832|21.204992
1622514025|Jun 01 02:20:25|60|267.558495|267.563462|5.048508|5.054860|-99.522893|6.222373|27.324989155181818|107.705924939721669|52.410060|18.677760|19.203840
1622514071|Jun 01 02:21:11|64|267.748449|267.753424|5.049232|5.055197|-99.522893|6.222373|27.327114755428283|107.707034331261639|52.410372|19.903232|20.427008
1622514072|Jun 01 02:21:12|58|267.753748|267.758721|5.048380|5.054334|-99.577015|6.224923|27.325716749329750|107.706881883494091|52.464523|19.229696|19.793920
1622514073|Jun 01 02:21:13|60|267.759976|267.764950|5.048884|5.054826|-99.587071|6.225637|27.324564076804457|107.704901767324543|52.473851|44.738560|45.231872
1622514075|Jun 01 02:21:15|55|267.767206|267.772181|5.048995|5.054922|-99.524589|6.223280|27.325460966634644|107.705669904681685|52.411622|19.218944|19.665408
1622514076|Jun 01 02:21:16|62|267.772977|267.777954|5.049890|5.055805|-99.522893|6.222373|27.324907932262299|107.703716639440898|52.409169|56.579840|57.045760
1622514078|Jun 01 02:21:18|57|267.778285|267.783260|5.049061|5.054965|-99.577015|6.224923|27.326568196199545|107.706726044049688|52.464404|19.693312|20.260352
1622514079|Jun 01 02:21:19|58|267.785274|267.790251|5.049695|5.055585|-99.507747|6.228066|27.324947946775573|107.704057635377183|52.394159|41.773824|42.332416
1622514081|Jun 01 02:21:21|60|267.791737|267.796714|5.049653|5.055530|-99.524589|6.223280|27.326300934296313|107.705537452564627|52.411514|19.798272|20.507648
1622514082|Jun 01 02:21:22|62|267.797772|267.802749|5.049475|5.055340|-99.514544|6.222554|27.324824823277872|107.704266626265337|52.401049|20.812544|21.402368
1622514084|Jun 01 02:21:24|60|267.802926|267.807904|5.049714|5.055568|-99.522893|6.222373|27.327324162248630|107.706513257574954|52.410147|20.878848|21.438208
1622514085|Jun 01 02:21:25|61|267.809403|267.814381|5.049779|5.055620|-99.516239|6.223462|27.325690810305986|107.704705479191148|52.402865|20.353792|21.078784
1622514087|Jun 01 02:21:27|63|267.815213|267.820191|5.049411|5.055240|-99.531242|6.222183|27.327298911039144|107.706951557985448|52.418676|20.084736|20.592640
1622514088|Jun 01 02:21:28|54|267.821692|267.826669|5.049477|5.055292|-99.524589|6.223280|27.325664510175969|107.705142538538652|52.411395|18.998528|19.659264
1622514089|Jun 01 02:21:29|55|267.827115|267.832091|5.048643|5.054448|-99.524589|6.223280|27.324188836622405|107.704879494502194|52.411384|41.643520|42.232320
1622514091|Jun 01 02:21:31|58|267.834049|267.839028|5.049748|5.055539|-99.470504|6.220728|27.325978563679982|107.705053292834236|52.357253|18.894080|19.352320
1622514092|Jun 01 02:21:32|62|267.838630|267.843609|5.049952|5.055733|-99.560209|6.229709|27.325823166435008|107.704578139314691|52.446775|19.098112|19.623936
1622514094|Jun 01 02:21:34|58|267.845053|267.850032|5.049931|5.055699|-99.577015|6.224923|27.327219380232123|107.706070675160390|52.464096|73.935104|74.420480
1622514095|Jun 01 02:21:35|56|267.851562|267.856540|5.049371|5.055126|-99.578720|6.225827|27.325137702352400|107.704753162850139|52.465401|19.467520|20.456960
1622514097|Jun 01 02:21:37|62|267.857674|267.862652|5.049111|5.054853|-99.514544|6.222554|27.326597958853661|107.706680337806205|52.401913|44.227584|44.684288
1622514098|Jun 01 02:21:38|57|267.863912|267.868891|5.049627|5.055356|-99.524589|6.223280|27.325445869033814|107.704683465612433|52.411223|20.105216|20.592384
1622514100|Jun 01 02:21:40|58|267.871121|267.876100|5.048993|5.054708|-99.470504|6.220728|27.325851178193091|107.706081199782318|52.357678|47.264768|48.778240
1622514101|Jun 01 02:21:41|53|267.876919|267.881898|5.049427|5.055130|-99.507747|6.228066|27.324964816063044|107.704487403900487|52.394332|40.334080|40.897280
1622514103|Jun 01 02:21:43|59|267.882152|267.887131|5.049242|5.054935|-99.577015|6.224923|27.327118690914851|107.707022720489377|52.464489|19.360768|20.210688
1622514104|Jun 01 02:21:44|59|267.888572|267.893552|5.049730|5.055410|-99.509443|6.228976|27.325814627847031|107.704909528725878|52.396144|19.570432|20.601344
1622514105|Jun 01 02:21:45|58|267.893799|267.898780|5.049559|5.055228|-99.578720|6.225827|27.324932194135449|107.704249635565731|52.465210|54.726400|55.213568
1622514107|Jun 01 02:21:47|56|267.899672|267.904654|5.050521|5.056178|-99.553553|6.230809|27.327399435173518|107.705351706789500|52.440331|41.508608|42.106112
1622514108|Jun 01 02:21:48|52|267.906132|267.911113|5.049774|5.055418|-99.524589|6.223280|27.325225153919931|107.704226417031904|52.411052|19.570432|20.188416
1622514110|Jun 01 02:21:50|52|267.912115|267.917095|5.049089|5.054721|-99.577015|6.224923|27.326491820979768|107.706602274155614|52.464359|46.112256|47.255552
1622514111|Jun 01 02:21:51|56|267.918535|267.923517|5.050158|5.055776|-99.501084|6.229162|27.325582612691349|107.704010593130903|52.387436|34.363904|34.898944
1622514113|Jun 01 02:21:53|54|267.924383|267.929364|5.049427|5.055033|-99.577015|6.224923|27.326915312055462|107.706526402562503|52.464301|68.567296|69.030144
1622514114|Jun 01 02:21:54|52|267.931520|267.936500|5.048889|5.054481|-99.577015|6.224923|27.324390491293713|107.704712491859439|52.463728|18.801664|23.889920
1622514116|Jun 01 02:21:56|51|267.936652|267.941634|5.049764|5.055346|-99.577015|6.224923|27.327338624994020|107.706450697236974|52.464243|18.658816|19.110400
1622514117|Jun 01 02:21:57|52|267.943221|267.948202|5.049049|5.054617|-99.524589|6.223280|27.325106669864212|107.705216814343203|52.411461|18.871552|19.410176
1622514119|Jun 01 02:21:59|51|267.948921|267.953904|5.050101|5.055658|-99.577015|6.224923|27.327761760584913|107.706375159079144|52.464185|18.040064|18.480640
1622514120|Jun 01 02:22:00|56|267.954243|267.959227|5.050409|5.055955|-99.561912|6.230623|27.327136361616638|107.705248608085142|52.448666|42.797312|43.323392
1622514121|Jun 01 02:22:01|58|267.961190|267.966174|5.050438|5.055970|-99.577015|6.224923|27.325135322256351|107.703111664353344|52.463031|19.433216|19.973888
1622514123|Jun 01 02:22:03|56|267.966615|267.971598|5.049609|5.055129|-99.577015|6.224923|27.326709902629069|107.706032156816605|52.464114|18.927104|19.439616
1622514124|Jun 01 02:22:04|56|267.973091|267.978074|5.049997|5.055504|-99.509443|6.228976|27.325297354132701|107.703959013781613|52.395792|19.656704|22.970112
1622514126|Jun 01 02:22:06|57|267.978884|267.983868|5.049945|5.055441|-99.577015|6.224923|27.327132620422624|107.705957045111901|52.464056|29.535488|30.031872
1622514127|Jun 01 02:22:07|50|267.986049|267.991032|5.049208|5.054689|-99.522893|6.222373|27.324450555736675|107.704285654371034|52.409430|18.387456|19.227648
1622514129|Jun 01 02:22:09|53|267.991153|267.996138|5.050282|5.055752|-99.577015|6.224923|27.327555163615642|107.705882103632035|52.463998|18.604032|19.400704
1622514130|Jun 01 02:22:10|54|267.996578|268.001562|5.049452|5.054911|-99.577015|6.224923|27.326080191062054|107.705614698628793|52.463985|19.475200|20.039936
1622514132|Jun 01 02:22:12|54|268.003719|268.008702|5.049300|5.054745|-99.514544|6.222554|27.326864108568728|107.706667175467359|52.401890|19.723520|20.356864
1622514133|Jun 01 02:22:13|54|268.008847|268.013832|5.049788|5.055222|-99.577015|6.224923|27.326502495919264|107.705540018553677|52.463927|42.044416|42.501632
1622514134|Jun 01 02:22:14|55|268.016000|268.020983|5.049022|5.054442|-99.522893|6.222373|27.323810157442338|107.703901603993728|52.409316|18.341888|18.837248
1622514136|Jun 01 02:22:16|55|268.021350|268.026335|5.050139|5.055548|-99.553553|6.230809|27.326764641551790|107.705274524684185|52.440341|19.391232|20.363776
1622514137|Jun 01 02:22:17|56|268.027131|268.032115|5.049548|5.054945|-99.629468|6.226558|27.325192623374342|107.704538896439303|52.516059|20.555008|22.151936
1622514139|Jun 01 02:22:19|53|268.033385|268.038372|5.050459|5.055844|-99.577015|6.224923|27.327346588496312|107.705391176447449|52.463812|20.440320|20.982784
1622514140|Jun 01 02:22:20|51|268.038810|268.043796|5.049629|5.055002|-99.577015|6.224923|27.325871399120800|107.705124091797302|52.463800|20.288000|21.246976
1622514142|Jun 01 02:22:22|53|268.045930|268.050916|5.049687|5.055046|-99.568664|6.225104|27.326812783160953|107.706019807359326|52.455751|19.923968|22.153728
1622514143|Jun 01 02:22:23|53|268.051079|268.056066|5.049965|5.055313|-99.577015|6.224923|27.326293125218683|107.705050023063535|52.463742|19.273472|19.816960
1622514145|Jun 01 02:22:25|55|268.058207|268.063195|5.050536|5.055869|-99.561912|6.230623|27.327578068930642|107.705516227064422|52.448745|19.393536|19.929856
1622514146|Jun 01 02:22:26|52|268.063348|268.068336|5.050300|5.055623|-99.577015|6.224923|27.326714681423930|107.704976129768113|52.463685|19.060224|19.521024
1622514147|Jun 01 02:22:27|56|268.069884|268.074870|5.049467|5.054777|-99.524589|6.223280|27.324427321695183|107.703863880583057|52.410956|31.380992|31.857920
1622514149|Jun 01 02:22:29|53|268.076718|268.081704|5.049521|5.054817|-99.539708|6.217592|27.325575703192321|107.704980825961698|52.426454|19.045376|19.536384
1622514150|Jun 01 02:22:30|49|268.082150|268.087137|5.049790|5.055075|-99.524589|6.223280|27.324843105557285|107.703801802763124|52.410904|28.065280|28.749568
1622514152|Jun 01 02:22:32|50|268.088179|268.093165|5.049265|5.054537|-99.577015|6.224923|27.326184087882659|107.706011309561617|52.464139|20.743424|21.268736
1622514153|Jun 01 02:22:33|54|268.095008|268.099996|5.050127|5.055386|-99.522893|6.222373|27.324836312667095|107.703276800577655|52.408996|21.142528|23.279616
1622514155|Jun 01 02:22:35|49|268.100448|268.105435|5.049599|5.054846|-99.577015|6.224923|27.326605157333212|107.705937980308732|52.464082|19.567616|20.237056
1622514156|Jun 01 02:22:36|46|268.105908|268.110896|5.049865|5.055101|-99.561912|6.230623|27.325850241606517|107.704739837345670|52.448542|17.954304|18.406656
1622514158|Jun 01 02:22:38|53|268.112717|268.117705|5.049933|5.055155|-99.577015|6.224923|27.327026060121668|107.705864830042927|52.464025|19.154688|19.689728
1622514159|Jun 01 02:22:39|50|268.118142|268.123129|5.049102|5.054314|-99.577015|6.224923|27.325550481431357|107.705598345706861|52.464013|29.050112|29.521152
1622514161|Jun 01 02:22:41|50|268.123275|268.128263|5.049976|5.055177|-99.577015|6.224923|27.328497407502326|107.707337576314700|52.464527|18.267904|18.828032
1622514162|Jun 01 02:22:42|53|268.130411|268.135399|5.049436|5.054622|-99.577015|6.224923|27.325971157640318|107.705525469093331|52.463956|18.425856|18.905600
1622514163|Jun 01 02:22:43|51|268.136650|268.141639|5.049662|5.054836|-99.532940|6.223090|27.324620518759872|107.703766277665707|52.419254|19.124480|19.751424
1622514165|Jun 01 02:22:45|50|268.142680|268.147669|5.049769|5.054931|-99.577015|6.224923|27.326391669149316|107.705452773624160|52.463899|21.133056|21.857792
1622514166|Jun 01 02:22:46|51|268.148167|268.153157|5.050607|5.055757|-99.553553|6.230809|27.326006567253764|107.703763708027097|52.439777|20.572672|21.178112
1622514168|Jun 01 02:22:48|52|268.154949|268.159939|5.050103|5.055239|-99.577015|6.224923|27.326812016748946|107.705380260198382|52.463843|18.984960|20.316160
1622514169|Jun 01 02:22:49|54|268.160362|268.165351|5.049851|5.054977|-99.568664|6.225104|27.325740073553604|107.704645614897700|52.455263|19.919104|20.412928
1622514171|Jun 01 02:22:51|53|268.166132|268.171123|5.050526|5.055640|-99.629468|6.226558|27.328086277429961|107.706062220426944|52.516490|18.126592|18.674432
1622514172|Jun 01 02:22:52|51|268.172643|268.177633|5.049605|5.054705|-99.577015|6.224923|27.325756359592312|107.705041872517015|52.463774|18.366720|19.113728
1622514174|Jun 01 02:22:54|53|268.177776|268.182768|5.050478|5.055567|-99.577015|6.224923|27.328702951439183|107.706781395007070|52.464288|43.472896|44.128000
1622514175|Jun 01 02:22:55|52|268.183252|268.188243|5.050031|5.055110|-99.631181|6.227467|27.327451954364463|107.706159094605283|52.518283|45.136384|45.642240
1622514176|Jun 01 02:22:56|51|268.190439|268.195431|5.050757|5.055821|-99.553553|6.230809|27.325750118631476|107.703264586167762|52.439591|11.675392|12.317184
1622514178|Jun 01 02:22:58|47|268.197181|268.202173|5.050270|5.055320|-99.577015|6.224923|27.326596124728127|107.704897955003403|52.463661|17.953024|18.546176
1622514179|Jun 01 02:22:59|49|268.202606|268.207597|5.049438|5.054477|-99.577015|6.224923|27.325120143514219|107.704632139102088|52.463649|18.538496|19.065856
1622514181|Jun 01 02:23:01|53|268.209389|268.214381|5.050192|5.055217|-99.522893|6.222373|27.326781705336423|107.705211119989471|52.409654|30.179072|31.045120
1622514182|Jun 01 02:23:02|48|268.214876|268.219867|5.049770|5.054785|-99.577015|6.224923|27.325539727071863|107.704560555081542|52.463592|18.459648|21.348096
1622514184|Jun 01 02:23:04|52|268.220593|268.225585|5.050082|5.055084|-99.583660|6.223821|27.327677486031980|107.706317560207609|52.470812|18.440704|18.932992
1622514185|Jun 01 02:23:05|50|268.227075|268.232067|5.049676|5.054665|-99.522893|6.222373|27.325719554336430|107.704893459174031|52.409594|18.317312|18.895616
1622514187|Jun 01 02:23:07|53|268.234281|268.239272|5.049561|5.054536|-99.577015|6.224923|27.326481580759626|107.705866229671670|52.464061|19.423232|19.972608
1622514188|Jun 01 02:23:08|50|268.239424|268.244416|5.049865|5.054829|-99.585366|6.224733|27.325983722005184|107.704879518936266|52.472044|42.429440|43.282944
